sample_origin,domain_sampled,verb,Accepted,AcceptedCount,AcceptedPattern,PrimaryDomain,OtherDomains,SoftAccepted,SoftAcceptedCount,SoftPattern,SoftPrimaryDomain,SoftOtherDomains,score_Kn,score_Cm,score_Ap,score_An,score_Sn,score_Ev,cal_score_Kn,thr_Kn,meets_thr_Kn,cal_score_Cm,thr_Cm,meets_thr_Cm,cal_score_Ap,thr_Ap,meets_thr_Ap,cal_score_An,thr_An,meets_thr_An,cal_score_Sn,thr_Sn,meets_thr_Sn,cal_score_Ev,thr_Ev,meets_thr_Ev,accept_Kn,accept_Cm,accept_Ap,accept_An,accept_Sn,accept_Ev,Kn,Cm,Ap,An,Sn,Ev
per_PrimaryDomain_hard,An,deviate,1,1,100,An,,True,2,110,An,Sn,0.071,0.582,0.469,0.802,0.583,0.414,0.071498,0.910864,0,0.581635,0.805014,0,0.468602,0.637883,0,0.80213,0.729805,1,0.582806,0.67688,0,0.414442,0.883008,0,0,0,0,1,0,0,0,1,1,1,0,0
per_PrimaryDomain_hard,An,input,1,2,10100,An,Cm,True,3,11100,An,"Cm, Ap",0.019,0.868,0.608,0.91,0.178,0.299,0.019031,0.910864,0,0.868053,0.805014,1,0.608206,0.637883,0,0.909758,0.729805,1,0.178092,0.67688,0,0.299353,0.883008,0,0,1,0,1,0,0,0,0,0,0,0,0
per_PrimaryDomain_hard,An,forego,1,1,100,An,,True,4,11101,An,"Cm, Ap, Ev",0.5,0.785,0.667,0.881,0.56,0.788,0.499757,0.910864,0,0.784907,0.805014,0,0.667213,0.637883,1,0.881422,0.729805,1,0.559732,0.67688,0,0.787905,0.883008,0,0,0,0,1,0,0,0,0,0,0,0,0
per_PrimaryDomain_hard,An,authorize,1,1,100,An,,True,3,1101,An,"Ap, Ev",0.07,0.657,0.57,0.888,0.469,0.757,0.069503,0.910864,0,0.6573,0.805014,0,0.570142,0.637883,0,0.88793,0.729805,1,0.469364,0.67688,0,0.757113,0.883008,0,0,0,0,1,0,0,0,0,0,0,0,1
per_PrimaryDomain_hard,An,contradict,1,3,1110,An,"Ap, Sn",True,3,1110,An,"Ap, Sn",0.122,0.54,0.73,0.793,0.756,0.748,0.121917,0.910864,0,0.540082,0.805014,0,0.730159,0.637883,1,0.792636,0.729805,1,0.75554,0.67688,1,0.748345,0.883008,0,0,0,1,1,1,0,0,0,0,1,0,1
per_PrimaryDomain_hard,Ap,enrich,1,1,1000,Ap,,True,1,1000,Ap,,0.003,0.193,0.667,0.227,0.57,0.189,0.002786,0.910864,0,0.1933,0.805014,0,0.667493,0.637883,1,0.226687,0.729805,0,0.569707,0.67688,0,0.188706,0.883008,0,0,0,1,0,0,0,0,0,0,0,1,0
per_PrimaryDomain_hard,Ap,expend,1,1,1000,Ap,,True,2,1001,Ap,Ev,0.085,0.378,0.94,0.416,0.303,0.753,0.085167,0.910864,0,0.378025,0.805014,0,0.939776,0.637883,1,0.416398,0.729805,0,0.302814,0.67688,0,0.752685,0.883008,0,0,0,1,0,0,0,0,0,1,0,0,0
per_PrimaryDomain_hard,Ap,deprive,1,1,1000,Ap,,True,1,1000,Ap,,0.097,0.21,0.869,0.478,0.195,0.692,0.09717,0.910864,0,0.209702,0.805014,0,0.868825,0.637883,1,0.477993,0.729805,0,0.19518,0.67688,0,0.691768,0.883008,0,0,0,1,0,0,0,0,0,1,0,0,0
per_PrimaryDomain_hard,Ap,displace,1,2,1100,Ap,An,True,2,1100,Ap,An,0.003,0.631,0.866,0.811,0.553,0.226,0.002786,0.910864,0,0.631051,0.805014,0,0.86555,0.637883,1,0.811208,0.729805,1,0.552972,0.67688,0,0.225921,0.883008,0,0,0,1,1,0,0,0,0,0,1,1,0
per_PrimaryDomain_hard,Ap,decline,1,2,1010,Ap,Sn,True,3,1011,Ap,"Sn, Ev",0.224,0.192,0.916,0.488,0.87,0.806,0.223744,0.910864,0,0.191578,0.805014,0,0.916251,0.637883,1,0.487736,0.729805,0,0.869959,0.67688,1,0.805561,0.883008,0,0,0,1,0,1,0,0,0,1,0,0,0
per_PrimaryDomain_hard,Cm,favour,1,1,10000,Cm,,True,1,10000,Cm,,0.73,0.962,0.339,0.329,0.026,0.741,0.730016,0.910864,0,0.961771,0.805014,1,0.339392,0.637883,0,0.32874,0.729805,0,0.025938,0.67688,0,0.740576,0.883008,0,0,1,0,0,0,0,0,1,0,0,0,1
per_PrimaryDomain_hard,Cm,creep,1,1,10000,Cm,,True,2,11000,Cm,Ap,0.647,0.827,0.615,0.493,0.181,0.122,0.64671,0.910864,0,0.827051,0.805014,1,0.615466,0.637883,0,0.492913,0.729805,0,0.181122,0.67688,0,0.121922,0.883008,0,0,1,0,0,0,0,0,0,0,0,0,0
per_PrimaryDomain_hard,Cm,guard,1,3,11010,Cm,"Ap, Sn",True,4,11011,Cm,"Ap, Sn, Ev",0.257,0.852,0.655,0.154,0.833,0.833,0.257234,0.910864,0,0.852226,0.805014,1,0.65476,0.637883,1,0.153604,0.729805,0,0.832573,0.67688,1,0.833219,0.883008,0,0,1,1,0,1,0,0,1,0,0,0,1
per_PrimaryDomain_hard,Cm,resting,1,1,10000,Cm,,True,3,11100,Cm,"Ap, An",0.452,0.906,0.619,0.669,0.048,0.623,0.452262,0.910864,0,0.906493,0.805014,1,0.618823,0.637883,0,0.66908,0.729805,0,0.04803,0.67688,0,0.623332,0.883008,0,0,1,0,0,0,0,0,0,0,0,0,0
per_PrimaryDomain_hard,Cm,amplify,1,1,10000,Cm,,True,3,11010,Cm,"Ap, Sn",0.015,0.844,0.634,0.148,0.648,0.159,0.0154,0.910864,0,0.844056,0.805014,1,0.634415,0.637883,0,0.148489,0.729805,0,0.648413,0.67688,0,0.159265,0.883008,0,0,1,0,0,0,0,0,1,0,0,0,0
per_PrimaryDomain_hard,Ev,dump,1,3,1101,Ev,"Ap, An",True,3,1101,Ev,"Ap, An",0.567,0.395,0.92,0.777,0.166,0.924,0.567421,0.910864,0,0.394797,0.805014,0,0.919936,0.637883,1,0.776783,0.729805,1,0.165959,0.67688,0,0.92429,0.883008,1,0,0,1,1,0,1,0,0,0,0,1,0
per_PrimaryDomain_hard,Ev,offload,1,1,1,Ev,,True,1,1,Ev,,0.006,0.676,0.471,0.601,0.553,0.909,0.005599,0.910864,0,0.675765,0.805014,0,0.471253,0.637883,0,0.601109,0.729805,0,0.552779,0.67688,0,0.908633,0.883008,1,0,0,0,0,0,1,0,0,0,0,0,0
per_PrimaryDomain_hard,Ev,detach,1,1,1,Ev,,True,2,101,Ev,An,0.081,0.529,0.166,0.811,0.382,0.896,0.080938,0.910864,0,0.529227,0.805014,0,0.166296,0.637883,0,0.811468,0.729805,1,0.382133,0.67688,0,0.895551,0.883008,1,0,0,0,0,0,1,0,0,0,1,0,1
per_PrimaryDomain_hard,Ev,lock,1,1,1,Ev,,True,3,1101,Ev,"Ap, An",0.52,0.426,0.773,0.712,0.29,0.948,0.519559,0.910864,0,0.426095,0.805014,0,0.772661,0.637883,1,0.712306,0.729805,0,0.290205,0.67688,0,0.948104,0.883008,1,0,0,0,0,0,1,0,0,0,0,0,1
per_PrimaryDomain_hard,Ev,tighten,1,1,1,Ev,,True,3,1011,Ev,"Ap, Sn",0.548,0.395,0.76,0.448,0.637,0.955,0.547917,0.910864,0,0.394547,0.805014,0,0.759766,0.637883,1,0.447501,0.729805,0,0.637071,0.67688,0,0.955432,0.883008,1,0,0,0,0,0,1,0,0,0,0,0,0
per_PrimaryDomain_hard,Kn,gaze,1,1,100000,Kn,,True,1,100000,Kn,,0.952,0.645,0.197,0.31,0.285,0.225,0.952087,0.910864,1,0.645185,0.805014,0,0.196872,0.637883,0,0.310136,0.729805,0,0.285022,0.67688,0,0.225182,0.883008,0,1,0,0,0,0,0,0,0,1,1,0,0
per_PrimaryDomain_hard,Kn,stamp,1,1,100000,Kn,,True,3,111000,Kn,"Cm, Ap",0.97,0.861,0.564,0.594,0.444,0.442,0.970337,0.910864,1,0.861157,0.805014,1,0.563523,0.637883,0,0.594121,0.729805,0,0.443758,0.67688,0,0.442279,0.883008,0,1,0,0,0,0,0,1,0,0,0,0,0
per_PrimaryDomain_hard,Kn,copying,1,1,100000,Kn,,True,3,101100,Kn,"Ap, An",0.945,0.667,0.695,0.71,0.549,0.098,0.945349,0.910864,1,0.667416,0.805014,0,0.695491,0.637883,1,0.709526,0.729805,0,0.548748,0.67688,0,0.097531,0.883008,0,1,0,0,0,0,0,0,0,0,0,0,0
per_PrimaryDomain_hard,Kn,peek,1,1,100000,Kn,,True,2,100100,Kn,An,0.957,0.16,0.22,0.801,0.445,0.13,0.956842,0.910864,1,0.159662,0.805014,0,0.219761,0.637883,0,0.801307,0.729805,1,0.445175,0.67688,0,0.130305,0.883008,0,1,0,0,0,0,0,0,0,1,1,0,0
