Verb,Accepted,AcceptedCount,AcceptedPattern,PrimaryDomain,OtherDomains,SoftAccepted,SoftAcceptedCount,SoftPattern,SoftPrimaryDomain,SoftOtherDomains,score_Kn,score_Cm,score_Ap,score_An,score_Sn,score_Ev,cal_score_Kn,thr_Kn,meets_thr_Kn,cal_score_Cm,thr_Cm,meets_thr_Cm,cal_score_Ap,thr_Ap,meets_thr_Ap,cal_score_An,thr_An,meets_thr_An,cal_score_Sn,thr_Sn,meets_thr_Sn,cal_score_Ev,thr_Ev,meets_thr_Ev,accept_Kn,accept_Cm,accept_Ap,accept_An,accept_Sn,accept_Ev
abandon,True,1,000001,Ev,,True,2,001001,Ev,Ap,0.451,0.397,0.519,0.086,0.325,0.795,0.451294,0.835079,0,0.396994,0.651832,0,0.519342,0.554974,0,0.086212,0.667539,0,0.324643,0.670157,0,0.794653,0.759162,1,0,0,0,0,0,1
abbreviate,False,0,000000,,,True,1,000010,Sn,,0.45,0.532,0.242,0.045,0.583,0.082,0.450466,0.835079,0,0.532359,0.651832,0,0.241687,0.554974,0,0.044978,0.667539,0,0.583455,0.670157,0,0.08242,0.759162,0,0,0,0,0,0,0
abet,True,1,010000,Cm,,True,1,010000,Cm,,0.528,0.687,0.188,0.135,0.176,0.365,0.528077,0.835079,0,0.687146,0.651832,1,0.187671,0.554974,0,0.134834,0.667539,0,0.176114,0.670157,0,0.365031,0.759162,0,0,1,0,0,0,0
abide,True,1,001000,Ap,,True,1,001000,Ap,,0.68,0.403,0.828,0.305,0.187,0.612,0.679995,0.835079,0,0.403196,0.651832,0,0.82839,0.554974,1,0.305053,0.667539,0,0.18714,0.670157,0,0.61203,0.759162,0,0,0,1,0,0,0
ablate,True,1,010000,Cm,,True,2,010010,Cm,Sn,0.351,0.696,0.375,0.169,0.581,0.462,0.350533,0.835079,0,0.696049,0.651832,1,0.374644,0.554974,0,0.168826,0.667539,0,0.580977,0.670157,0,0.461713,0.759162,0,0,1,0,0,0,0
abort,True,1,000001,Ev,,True,2,001001,Ev,Ap,0.173,0.133,0.55,0.264,0.513,0.976,0.173073,0.835079,0,0.132586,0.651832,0,0.549935,0.554974,0,0.26386,0.667539,0,0.512842,0.670157,0,0.976143,0.759162,1,0,0,0,0,0,1
abound,True,1,100000,Kn,,True,2,110000,Kn,Cm,0.847,0.68,0.211,0.067,0.301,0.171,0.847022,0.835079,1,0.679844,0.651832,1,0.210589,0.554974,0,0.067467,0.667539,0,0.301465,0.670157,0,0.171152,0.759162,0,1,0,0,0,0,0
absorb,True,1,001000,Ap,,True,1,001000,Ap,,0.374,0.144,0.712,0.261,0.1,0.159,0.373738,0.835079,0,0.143945,0.651832,0,0.71154,0.554974,1,0.260874,0.667539,0,0.099975,0.670157,0,0.158803,0.759162,0,0,0,1,0,0,0
abut,True,1,010000,Cm,,True,1,010000,Cm,,0.349,0.786,0.32,0.065,0.418,0.64,0.348652,0.835079,0,0.785657,0.651832,1,0.320214,0.554974,0,0.064974,0.667539,0,0.418361,0.670157,0,0.640385,0.759162,0,0,1,0,0,0,0
accelerate,True,1,001000,Ap,,True,1,001000,Ap,,0.149,0.369,0.844,0.107,0.409,0.169,0.149117,0.835079,0,0.369204,0.651832,0,0.844413,0.554974,1,0.106912,0.667539,0,0.408761,0.670157,0,0.168821,0.759162,0,0,0,1,0,0,0
accentuate,False,0,000000,,,True,1,010000,Cm,,0.087,0.631,0.214,0.017,0.356,0.101,0.086882,0.835079,0,0.631182,0.651832,0,0.214411,0.554974,0,0.01724,0.667539,0,0.355843,0.670157,0,0.100811,0.759162,0,0,0,0,0,0,0
accommodate,True,1,000010,Sn,,True,2,001010,Sn,Ap,0.003,0.381,0.802,0.411,0.98,0.29,0.002618,0.835079,0,0.381395,0.651832,0,0.802307,0.554974,1,0.411002,0.667539,0,0.979713,0.670157,1,0.290029,0.759162,0,0,0,0,0,1,0
accompany,True,1,000010,Sn,,True,4,111010,Sn,"Kn, Cm, Ap",0.778,0.828,0.519,0.017,0.927,0.159,0.778285,0.835079,0,0.828263,0.651832,1,0.518731,0.554974,0,0.016585,0.667539,0,0.926974,0.670157,1,0.158811,0.759162,0,0,0,0,0,1,0
accomplish,True,1,001000,Ap,,True,2,001010,Ap,Sn,0.512,0.047,0.863,0.012,0.574,0.364,0.512095,0.835079,0,0.046582,0.651832,0,0.862902,0.554974,1,0.011524,0.667539,0,0.573503,0.670157,0,0.364144,0.759162,0,0,0,1,0,0,0
account,True,1,000100,An,,True,4,011101,An,"Cm, Ap, Ev",0.555,0.637,0.501,0.669,0.367,0.669,0.554523,0.835079,0,0.636924,0.651832,0,0.500621,0.554974,0,0.668688,0.667539,1,0.366829,0.670157,0,0.668532,0.759162,0,0,0,0,1,0,0
accrue,True,1,001000,Ap,,True,1,001000,Ap,,0.386,0.241,0.67,0.039,0.111,0.17,0.385585,0.835079,0,0.240869,0.651832,0,0.669918,0.554974,1,0.03923,0.667539,0,0.111154,0.670157,0,0.170198,0.759162,0,0,0,1,0,0,0
accumulate,True,2,101000,Kn,Ap,True,2,101000,Kn,Ap,0.937,0.346,0.887,0.172,0.133,0.166,0.937306,0.835079,1,0.345764,0.651832,0,0.886549,0.554974,1,0.172068,0.667539,0,0.133052,0.670157,0,0.166179,0.759162,0,1,0,1,0,0,0
accustom,True,1,000010,Sn,,True,2,000011,Sn,Ev,0.073,0.3,0.26,0.185,0.739,0.655,0.073109,0.835079,0,0.300164,0.651832,0,0.259848,0.554974,0,0.185437,0.667539,0,0.739313,0.670157,1,0.655368,0.759162,0,0,0,0,0,1,0
achieve,True,1,001000,Ap,,True,2,001010,Ap,Sn,0.347,0.028,0.939,0.009,0.758,0.176,0.34675,0.835079,0,0.027986,0.651832,0,0.939257,0.554974,1,0.009306,0.667539,0,0.757651,0.670157,1,0.175745,0.759162,0,0,0,1,0,0,0
acidify,True,1,001000,Ap,,True,1,001000,Ap,,0.012,0.16,0.56,0.241,0.555,0.515,0.0119,0.835079,0,0.160222,0.651832,0,0.560291,0.554974,1,0.241398,0.667539,0,0.555363,0.670157,0,0.514555,0.759162,0,0,0,1,0,0,0
acknowledge,False,0,000000,,,True,1,010000,Cm,,0.707,0.65,0.068,0.271,0.109,0.165,0.707358,0.835079,0,0.649881,0.651832,0,0.067784,0.554974,0,0.271088,0.667539,0,0.108968,0.670157,0,0.165275,0.759162,0,0,0,0,0,0,0
acquaint,True,1,010000,Cm,,True,2,010010,Cm,Sn,0.314,0.904,0.22,0.18,0.728,0.147,0.314366,0.835079,0,0.903754,0.651832,1,0.220302,0.554974,0,0.180412,0.667539,0,0.728477,0.670157,1,0.146942,0.759162,0,0,1,0,0,0,0
