Verb,Accepted,AcceptedCount,AcceptedPattern,PrimaryDomain,OtherDomains,SoftAccepted,SoftAcceptedCount,SoftPattern,SoftPrimaryDomain,SoftOtherDomains,score_Kn,score_Cm,score_Ap,score_An,score_Sn,score_Ev,cal_score_Kn,thr_Kn,meets_thr_Kn,cal_score_Cm,thr_Cm,meets_thr_Cm,cal_score_Ap,thr_Ap,meets_thr_Ap,cal_score_An,thr_An,meets_thr_An,cal_score_Sn,thr_Sn,meets_thr_Sn,cal_score_Ev,thr_Ev,meets_thr_Ev,accept_Kn,accept_Cm,accept_Ap,accept_An,accept_Sn,accept_Ev
abandon,True,1,000001,Ev,,True,2,001001,Ev,Ap,0.248,0.247,0.561,0.456,0.032,0.851,0.248449,0.853403,0,0.24712,0.827225,0,0.56114,0.581152,0,0.455987,0.63089,0,0.031538,0.651832,0,0.850895,0.772251,1,0,0,0,0,0,1
abbreviate,True,1,001000,Ap,,True,2,001010,Ap,Sn,0.412,0.558,0.679,0.101,0.558,0.368,0.411628,0.853403,0,0.558242,0.827225,0,0.679121,0.581152,1,0.101236,0.63089,0,0.558141,0.651832,0,0.36808,0.772251,0,0,0,1,0,0,0
abet,True,1,001000,Ap,,True,1,001000,Ap,,0.714,0.56,0.846,0.017,0.183,0.496,0.713679,0.853403,0,0.560024,0.827225,0,0.846212,0.581152,1,0.017197,0.63089,0,0.183482,0.651832,0,0.496079,0.772251,0,0,0,1,0,0,0
abide,True,1,000001,Ev,,True,1,000001,Ev,,0.442,0.24,0.476,0.17,0.309,0.847,0.441836,0.853403,0,0.239636,0.827225,0,0.476378,0.581152,0,0.170012,0.63089,0,0.308685,0.651832,0,0.846818,0.772251,1,0,0,0,0,0,1
ablate,True,1,000010,Sn,,True,2,001010,Sn,Ap,0.443,0.402,0.532,0.229,0.702,0.485,0.442977,0.853403,0,0.401766,0.827225,0,0.532497,0.581152,0,0.229298,0.63089,0,0.701899,0.651832,1,0.484601,0.772251,0,0,0,0,0,1,0
abort,True,1,000001,Ev,,True,3,001011,Ev,"Ap, Sn",0.323,0.164,0.558,0.095,0.556,0.854,0.323459,0.853403,0,0.163903,0.827225,0,0.55779,0.581152,0,0.095401,0.63089,0,0.5565,0.651832,0,0.854161,0.772251,1,0,0,0,0,0,1
abound,True,1,100000,Kn,,True,1,100000,Kn,,0.918,0.534,0.419,0.194,0.514,0.175,0.918127,0.853403,1,0.533937,0.827225,0,0.419258,0.581152,0,0.194201,0.63089,0,0.514478,0.651832,0,0.174745,0.772251,0,1,0,0,0,0,0
absorb,True,1,001000,Ap,,True,1,001000,Ap,,0.387,0.081,0.97,0.348,0.037,0.062,0.387144,0.853403,0,0.081264,0.827225,0,0.970488,0.581152,1,0.347847,0.63089,0,0.03716,0.651832,0,0.061686,0.772251,0,0,0,1,0,0,0
abut,True,1,000001,Ev,,True,1,000001,Ev,,0.607,0.536,0.411,0.05,0.529,0.853,0.607017,0.853403,0,0.536178,0.827225,0,0.411358,0.581152,0,0.050356,0.63089,0,0.528545,0.651832,0,0.852564,0.772251,1,0,0,0,0,0,1
accelerate,True,1,001000,Ap,,True,2,001010,Ap,Sn,0.149,0.18,0.904,0.232,0.784,0.008,0.149215,0.853403,0,0.180166,0.827225,0,0.904239,0.581152,1,0.232064,0.63089,0,0.784122,0.651832,1,0.007853,0.772251,0,0,0,1,0,0,0
accentuate,False,0,000000,,,True,1,000010,Sn,,0.643,0.544,0.49,0.224,0.612,0.215,0.64322,0.853403,0,0.54388,0.827225,0,0.490042,0.581152,0,0.223809,0.63089,0,0.611959,0.651832,0,0.215282,0.772251,0,0,0,0,0,0,0
