Verb,Accepted,AcceptedCount,AcceptedPattern,PrimaryDomain,OtherDomains,SoftAccepted,SoftAcceptedCount,SoftPattern,SoftPrimaryDomain,SoftOtherDomains,score_Kn,score_Cm,score_Ap,score_An,score_Sn,score_Ev,cal_score_Kn,thr_Kn,meets_thr_Kn,cal_score_Cm,thr_Cm,meets_thr_Cm,cal_score_Ap,thr_Ap,meets_thr_Ap,cal_score_An,thr_An,meets_thr_An,cal_score_Sn,thr_Sn,meets_thr_Sn,cal_score_Ev,thr_Ev,meets_thr_Ev,accept_Kn,accept_Cm,accept_Ap,accept_An,accept_Sn,accept_Ev
abandon,True,1,001000,Ap,,True,2,001001,Ap,Ev,0.614,0.372,0.971,0.365,0.165,0.686,0.614183,0.840314,0,0.372193,0.717277,0,0.971009,0.591623,1,0.364512,0.657068,0,0.164622,0.643979,0,0.685813,0.743455,0,0,0,1,0,0,0
abbreviate,True,1,000010,Sn,,True,1,000010,Sn,,0.357,0.488,0.426,0.04,0.665,0.109,0.356902,0.840314,0,0.488391,0.717277,0,0.426318,0.591623,0,0.040101,0.657068,0,0.66541,0.643979,1,0.10893,0.743455,0,0,0,0,0,1,0
abet,True,1,001000,Ap,,True,2,011000,Cm,Ap,0.68,0.684,0.659,0.286,0.103,0.105,0.67975,0.840314,0,0.684216,0.717277,0,0.659329,0.591623,1,0.286436,0.657068,0,0.103236,0.643979,0,0.105356,0.743455,0,0,0,1,0,0,0
abide,True,1,001000,Ap,,True,1,001000,Ap,,0.665,0.393,0.952,0.259,0.164,0.21,0.664515,0.840314,0,0.392672,0.717277,0,0.952435,0.591623,1,0.259229,0.657068,0,0.164195,0.643979,0,0.209993,0.743455,0,0,0,1,0,0,0
ablate,True,1,010000,Cm,,True,2,011000,Cm,Ap,0.479,0.932,0.645,0.163,0.441,0.168,0.479075,0.840314,0,0.932384,0.717277,1,0.645208,0.591623,1,0.16344,0.657068,0,0.441242,0.643979,0,0.167874,0.743455,0,0,1,0,0,0,0
abort,True,1,000001,Ev,,True,3,001011,Ev,"Ap, Sn",0.575,0.128,0.665,0.297,0.659,0.945,0.574538,0.840314,0,0.128205,0.717277,0,0.665481,0.591623,1,0.297402,0.657068,0,0.659075,0.643979,1,0.944973,0.743455,1,0,0,0,0,0,1
abound,False,0,000000,,,True,2,110000,Kn,Cm,0.75,0.669,0.19,0.017,0.072,0.271,0.749807,0.840314,0,0.66929,0.717277,0,0.189917,0.591623,0,0.01749,0.657068,0,0.072165,0.643979,0,0.271006,0.743455,0,0,0,0,0,0,0
absorb,False,0,000000,,,False,0,000000,,,0.476,0.353,0.372,0.428,0.127,0.071,0.475746,0.840314,0,0.353317,0.717277,0,0.37203,0.591623,0,0.427848,0.657068,0,0.126963,0.643979,0,0.071476,0.743455,0,0,0,0,0,0,0
abut,True,1,010000,Cm,,True,2,011000,Cm,Ap,0.459,0.943,0.692,0.064,0.173,0.574,0.458626,0.840314,0,0.943036,0.717277,1,0.691737,0.591623,1,0.064088,0.657068,0,0.172774,0.643979,0,0.574258,0.743455,0,0,1,0,0,0,0
accelerate,True,1,001000,Ap,,True,2,001010,Ap,Sn,0.286,0.114,0.89,0.115,0.761,0.102,0.286249,0.840314,0,0.11449,0.717277,0,0.890312,0.591623,1,0.115156,0.657068,0,0.760512,0.643979,1,0.1025,0.743455,0,0,0,1,0,0,0
