sample_origin,domain_sampled,verb,Accepted,AcceptedCount,AcceptedPattern,PrimaryDomain,OtherDomains,SoftAccepted,SoftAcceptedCount,SoftPattern,SoftPrimaryDomain,SoftOtherDomains,score_Kn,score_Cm,score_Ap,score_An,score_Sn,score_Ev,cal_score_Kn,thr_Kn,meets_thr_Kn,cal_score_Cm,thr_Cm,meets_thr_Cm,cal_score_Ap,thr_Ap,meets_thr_Ap,cal_score_An,thr_An,meets_thr_An,cal_score_Sn,thr_Sn,meets_thr_Sn,cal_score_Ev,thr_Ev,meets_thr_Ev,accept_Kn,accept_Cm,accept_Ap,accept_An,accept_Sn,accept_Ev,Kn,Cm,Ap,An,Sn,Ev
per_PrimaryDomain_hard,An,bisect,1,1,100,An,,True,2,110,An,Sn,0.606,0.627,0.315,0.956,0.758,0.616,0.605973,0.853403,0,0.627078,0.827225,0,0.315397,0.581152,0,0.956272,0.63089,1,0.758071,0.651832,1,0.616485,0.772251,0,0,0,0,1,0,0,0,0,0,1,0,0
per_PrimaryDomain_hard,An,differ,1,3,10101,An,"Cm, Ev",True,3,10101,An,"Cm, Ev",0.205,0.925,0.195,0.947,0.356,0.898,0.204708,0.853403,0,0.925364,0.827225,1,0.195084,0.581152,0,0.947398,0.63089,1,0.356488,0.651832,0,0.898339,0.772251,1,0,1,0,1,0,1,0,1,0,1,0,1
per_PrimaryDomain_hard,An,percolate,1,1,100,An,,True,1,100,An,,0.429,0.506,0.298,0.722,0.549,0.332,0.429243,0.853403,0,0.505573,0.827225,0,0.297812,0.581152,0,0.72166,0.63089,1,0.548522,0.651832,0,0.332442,0.772251,0,0,0,0,1,0,0,0,0,0,1,0,0
per_PrimaryDomain_hard,An,disentangle,1,1,100,An,,True,2,10100,An,Cm,0.356,0.757,0.212,0.843,0.472,0.434,0.355709,0.853403,0,0.756833,0.827225,0,0.21178,0.581152,0,0.84289,0.63089,1,0.472197,0.651832,0,0.434347,0.772251,0,0,0,0,1,0,0,0,0,0,1,0,0
per_PrimaryDomain_hard,An,grout,1,1,100,An,,True,1,100,An,,0.598,0.379,0.181,0.956,0.158,0.044,0.598423,0.853403,0,0.379046,0.827225,0,0.181416,0.581152,0,0.95602,0.63089,1,0.157925,0.651832,0,0.044421,0.772251,0,0,0,0,1,0,0,0,0,0,1,0,0
per_PrimaryDomain_hard,Ap,prod,1,1,1000,Ap,,True,4,1111,Ap,"An, Sn, Ev",0.269,0.24,0.938,0.634,0.561,0.669,0.268849,0.853403,0,0.239977,0.827225,0,0.938388,0.581152,1,0.634231,0.63089,1,0.561095,0.651832,0,0.668958,0.772251,0,0,0,1,0,0,0,0,0,1,0,0,0
per_PrimaryDomain_hard,Ap,sponsor,1,1,1000,Ap,,True,1,1000,Ap,,0.429,0.702,0.845,0.435,0.277,0.222,0.428616,0.853403,0,0.702014,0.827225,0,0.844864,0.581152,1,0.435402,0.63089,0,0.276648,0.651832,0,0.222185,0.772251,0,0,0,1,0,0,0,0,0,1,0,0,0
per_PrimaryDomain_hard,Ap,manifest,1,1,1000,Ap,,True,1,1000,Ap,,0.605,0.645,0.77,0.227,0.512,0.367,0.605497,0.853403,0,0.644962,0.827225,0,0.769996,0.581152,1,0.227309,0.63089,0,0.511529,0.651832,0,0.367263,0.772251,0,0,0,1,0,0,0,0,0,1,0,0,0
per_PrimaryDomain_hard,Ap,publicize,1,1,1000,Ap,,True,2,1010,Ap,Sn,0.209,0.24,0.983,0.194,0.736,0.106,0.208506,0.853403,0,0.240402,0.827225,0,0.982817,0.581152,1,0.194457,0.63089,0,0.73625,0.651832,1,0.105614,0.772251,0,0,0,1,0,0,0,0,0,1,0,0,0
per_PrimaryDomain_hard,Ap,pressurize,1,1,1000,Ap,,True,3,1101,Ap,"An, Ev",0.149,0.181,0.702,0.622,0.441,0.657,0.149215,0.853403,0,0.181093,0.827225,0,0.701655,0.581152,1,0.622148,0.63089,0,0.44071,0.651832,0,0.657316,0.772251,0,0,0,1,0,0,0,0,0,1,0,0,0
per_PrimaryDomain_hard,Cm,overestimate,1,1,10000,Cm,,True,2,10010,Cm,Sn,0.341,0.832,0.149,0.448,0.731,0.556,0.34079,0.853403,0,0.832128,0.827225,1,0.149163,0.581152,0,0.447977,0.63089,0,0.731213,0.651832,1,0.555572,0.772251,0,0,1,0,0,0,0,0,1,0,0,0,0
