Verb,Accepted,AcceptedCount,AcceptedPattern,PrimaryDomain,OtherDomains,SoftAccepted,SoftAcceptedCount,SoftPattern,SoftPrimaryDomain,SoftOtherDomains,score_Kn,score_Cm,score_Ap,score_An,score_Sn,score_Ev,cal_score_Kn,thr_Kn,meets_thr_Kn,cal_score_Cm,thr_Cm,meets_thr_Cm,cal_score_Ap,thr_Ap,meets_thr_Ap,cal_score_An,thr_An,meets_thr_An,cal_score_Sn,thr_Sn,meets_thr_Sn,cal_score_Ev,thr_Ev,meets_thr_Ev,accept_Kn,accept_Cm,accept_Ap,accept_An,accept_Sn,accept_Ev,Kn,Cm,Ap,An,Sn,Ev
abandon,True,2,001001,Ev,Ap,True,3,011001,Ev,"Cm, Ap",0.609,0.691,0.884,0.443,0.305,0.922,0.609461,0.910864,0,0.691075,0.805014,0,0.88426,0.637883,1,0.442513,0.729805,0,0.304776,0.67688,0,0.921853,0.883008,1,0,0,1,0,0,1,0,0,0,0,0,1
abbreviate,True,1,000010,Sn,,True,3,011010,Sn,"Cm, Ap",0.202,0.788,0.568,0.08,0.826,0.13,0.202387,0.910864,0,0.787852,0.805014,0,0.568395,0.637883,0,0.079983,0.729805,0,0.825772,0.67688,1,0.129961,0.883008,0,0,0,0,0,1,0,0,1,0,0,1,0
abet,True,1,010000,Cm,,True,2,011000,Cm,Ap,0.536,0.806,0.558,0.366,0.291,0.361,0.535723,0.910864,0,0.806483,0.805014,1,0.558142,0.637883,0,0.366109,0.729805,0,0.291388,0.67688,0,0.361134,0.883008,0,0,1,0,0,0,0,0,0,0,0,0,0
abide,True,1,001000,Ap,,True,2,001001,Ap,Ev,0.49,0.642,0.879,0.339,0.399,0.796,0.48999,0.910864,0,0.641749,0.805014,0,0.878782,0.637883,1,0.339421,0.729805,0,0.398536,0.67688,0,0.795944,0.883008,0,0,0,1,0,0,0,0,0,0,0,0,0
ablate,True,1,010000,Cm,,True,1,010000,Cm,,0.269,0.962,0.452,0.148,0.56,0.42,0.269256,0.910864,0,0.961991,0.805014,1,0.451875,0.637883,0,0.14786,0.729805,0,0.559791,0.67688,0,0.419895,0.883008,0,0,1,0,0,0,0,0,0,0,0,0,0
abort,True,1,000001,Ev,,True,3,001011,Ev,"Ap, Sn",0.292,0.195,0.581,0.269,0.808,0.939,0.292276,0.910864,0,0.195324,0.805014,0,0.581308,0.637883,0,0.269065,0.729805,0,0.807805,0.67688,1,0.939025,0.883008,1,0,0,0,0,0,1,1,0,0,0,0,0
abound,False,0,000000,,,True,1,010000,Cm,,0.668,0.747,0.305,0.029,0.199,0.474,0.668325,0.910864,0,0.747224,0.805014,0,0.305341,0.637883,0,0.029227,0.729805,0,0.198782,0.67688,0,0.474304,0.883008,0,0,0,0,0,0,0,0,0,0,0,0,0
absorb,False,0,000000,,,False,0,000000,,,0.269,0.499,0.353,0.314,0.544,0.135,0.268939,0.910864,0,0.498901,0.805014,0,0.352533,0.637883,0,0.314284,0.729805,0,0.543772,0.67688,0,0.13532,0.883008,0,0,0,0,0,0,0,0,0,1,1,0,0
abut,True,1,010000,Cm,,True,3,011010,Cm,"Ap, Sn",0.454,0.972,0.759,0.212,0.584,0.718,0.454246,0.910864,0,0.972456,0.805014,1,0.758586,0.637883,1,0.212216,0.729805,0,0.583888,0.67688,0,0.718013,0.883008,0,0,1,0,0,0,0,0,0,0,0,0,0
accelerate,True,1,000010,Sn,,True,2,001010,Sn,Ap,0.146,0.308,0.726,0.293,0.94,0.218,0.145814,0.910864,0,0.308098,0.805014,0,0.726043,0.637883,1,0.292906,0.729805,0,0.94043,0.67688,1,0.21781,0.883008,0,0,0,0,0,1,0,0,0,0,1,0,0
