Model,Params,Core_SCS,Core_Acceptance,Core_EntryRate,Core_en_over_ac,Core_D,Core_M,Core_trend,Core_EmptyLevels,Eval_SCS,Eval_Acceptance,Eval_EntryRate,Eval_en_over_ac,Eval_D,Eval_M,Eval_trend,Eval_EmptyLevels,PenalizedObj
SGDClassifier (P55),"{'loss': 'hinge', 'alpha': 1e-05, 'class_weight': 'balanced', 'max_iter': 4000, 'tol': 0.0001, 'random_state': 13}",0.8964086420455549,0.89501312335958,1.6456692913385826,1.8387096774193548,0.1446009144834967,0.16159234257407423,1.0,0,0.9976565381472376,0.8042424242424242,1.1818181818181819,1.4694800301431803,0.1760081044909456,0.0919976507352273,1.0,0,0.9834924300741437
PassiveAggressive (P50),"{'C': 0.5, 'class_weight': 'balanced', 'max_iter': 4000, 'tol': 0.0001, 'random_state': 13}",0.8287382782420999,0.916010498687664,1.8162729658792651,1.9828080229226361,0.1396792890098199,0.1846102040569105,0.95,0,0.9214469369772921,0.8333333333333334,1.3866666666666667,1.664,0.14518183177844868,0.13702803071998737,1.0,0,0.9200580480884032
KNeighborsClassifier (P50),"{'n_neighbors': 21, 'metric': 'cosine', 'weights': 'distance', 'algorithm': 'brute'}",0.8687841550049122,0.916010498687664,1.6876640419947506,1.8424068767908308,0.1899975958851189,0.15807640983856824,0.8999999999999999,0,0.9090075940670614,0.8606060606060606,1.2903030303030303,1.4992957746478872,0.1721330902899654,0.09754463272152722,0.8999999999999999,0,0.9083599881185412
LinearSVC (P45),"{'C': 2.0, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",0.813220052679019,0.9422572178477691,1.9658792650918635,2.086350974930362,0.14193305380847768,0.20295416572623046,0.95,0,0.8993169300866429,0.8557575757575757,1.4418181818181819,1.684844192634561,0.15685507893487188,0.1312361904866956,0.95,0,0.898488237418063
CalibratedSVC (P45),{'C': 1.0},0.8345080568191703,0.9291338582677166,1.8661417322834646,2.0084745762711864,0.182509864613233,0.1848088065891001,0.8999999999999999,0,0.8958968602647764,0.7727272727272727,1.1921212121212121,1.5427450980392157,0.19411238927365063,0.09329072693759344,0.85,0,0.86604148836395
NearestCentroid (P40),{'metric': 'euclidean'},0.6076060419776158,0.9448818897637795,2.0708661417322833,2.1916666666666664,0.17281803061780807,0.1636391193816245,0.6,0,0.862997839522781,0.8254545454545454,1.3751515151515152,1.6659324522760648,0.19136576572883374,0.08460466825238719,0.8,0,0.8599854428285661
LogisticRegression (P45),"{'C': 0.5, 'solver': 'liblinear', 'penalty': 'l2', 'class_weight': 'balanced', 'max_iter': 4000, 'random_state': 13}",0.8691633027347361,0.9028871391076115,1.7926509186351707,1.98546511627907,0.19668837266458292,0.16544421141846027,0.8999999999999999,0,0.8944491282172035,0.7642424242424243,1.1436363636363636,1.4964314036478983,0.20841084915978814,0.06991738184511608,0.8,0,0.8573469755897714
RidgeClassifier (P40),{'alpha': 5.0},0.7949492199204887,0.9501312335958005,2.1233595800524934,2.234806629834254,0.16711214618236991,0.20941701388237383,0.8999999999999999,0,0.8160763684783371,0.8569696969696969,1.4466666666666668,1.6881188118811883,0.1718862908315858,0.11115042930639041,0.8,0,0.8148788593484873
GaussianNB (P40),{'var_smoothing': 1e-09},0.7122536931908232,0.94750656167979,2.2598425196850394,2.3850415512465375,0.15122138573876978,0.19654722898968818,0.8,0,0.7860566861005589,0.8684848484848485,1.5866666666666667,1.8269364968597348,0.15469608394953996,0.12394127615242842,0.8,0,0.7213176460181447
QDA (P60),{'reg_param': 0.05},0.49989950730046334,0.8057742782152231,1.7664041994750657,2.192182410423453,0.1958821714889893,0.09610460334286486,0.35,0,0.5540583294110225,0.703030303030303,1.407878787878788,2.002586206896552,0.2165693659764416,0.06169979724657473,0.35,0,0.16606508709549345
LDA (P60),"{'solver': 'lsqr', 'shrinkage': 'auto'}",0.49359679522717437,0.7611548556430446,1.7165354330708662,2.2551724137931033,0.19512993842538218,0.10214403988774197,0.35,0,0.5431698820623245,0.6460606060606061,1.3103030303030303,2.0281425891181986,0.22199342278379658,0.07824744053886139,0.35,0,0.010824439456821544
Legacy kNN (K=5/th=0.32/c=32),"{'K': 5, 'thresh': 0.32, 'cutoff': 32, 'use_freq': True}",0.9154413686431152,0.4435695538057743,0.868766404199475,1.9585798816568047,0.2479784403508033,0.24861584156518574,1.0,0,0.9674580540629303,0.1921212121212121,0.2878787878787879,1.4984227129337542,0.2200410037040419,0.1275719175484507,0.95,0,-1.1967902489994127
