Model,Params,Mode,Percentile,Thresholds,PassedMinAccept,UsedOOF,SCS_core,SCS_eval,PenalizedObj_eval,Core_D,Core_M,Core_T,Core_C,Core_E,Core_D_bar,Core_W_bar,Core_rho,Core_acceptance,Core_entry_rate,Core_en_over_ac,Core_per_level,Eval_D,Eval_M,Eval_T,Eval_C,Eval_E,Eval_D_bar,Eval_W_bar,Eval_rho,Eval_acceptance,Eval_entry_rate,Eval_en_over_ac,Eval_per_level
LinearSVC,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P20,20.0,"[0.667539, 0.397906, 0.28534, 0.387435, 0.303665, 0.384817]",True,True,0.5153111385926143,0.6165627974143,-3.481448699477804,0.07390833063546627,0.43516719966997275,0.95,0.38856669209040295,0.0,0.04125851685876403,0.516979540958155,0.8999999999999998,1.0,3.5826771653543306,3.5826771653543306,"[127, 230, 273, 234, 266, 235]",0.09213706340899952,0.3105163043129651,0.8999999999999999,0.38314012772755196,0,0.05378108565945454,0.5299253136171915,0.7999999999999999,0.9975757575757576,2.9242424242424243,2.93134872417983,"[417, 635, 1030, 827, 902, 1014]"
LinearSVC,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P25,25.0,"[0.719895, 0.424084, 0.335079, 0.45288, 0.390052, 0.439791]",True,True,0.5582586086522678,0.6987400152355331,-1.3502461513776267,0.08955578220785114,0.3677912497514041,0.8999999999999999,0.3883135873194027,0.0,0.050505066839294795,0.5134448651293072,0.7999999999999999,1.0,3.2467191601049867,3.2467191601049867,"[107, 220, 254, 209, 233, 214]",0.11408307456891116,0.2502665907733071,0.8999999999999999,0.38307843813309683,0,0.06791790812540185,0.5274183790405087,0.7999999999999999,0.9848484848484849,2.5145454545454546,2.5532307692307694,"[307, 597, 922, 676, 741, 906]"
LinearSVC,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P30,30.0,"[0.753927, 0.468586, 0.400524, 0.515707, 0.5, 0.554974]",True,True,0.6483388320194639,0.7804924725380131,0.05824182206996287,0.1142440659693962,0.30255542868750707,0.8999999999999999,0.38883398245858264,0.0,0.06563802046029439,0.5089030347732576,0.7999999999999999,0.9921259842519685,2.8136482939632548,2.8359788359788363,"[94, 203, 229, 185, 191, 170]",0.1377739045307083,0.19232512910459792,0.8999999999999999,0.38347899037300925,0,0.08373220610571651,0.5240176331473984,0.7999999999999999,0.9496969696969697,2.076969696969697,2.186981493299298,"[274, 537, 817, 611, 534, 654]"
LinearSVC,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P35,35.0,"[0.790576, 0.534031, 0.463351, 0.549738, 0.570681, 0.623037]",True,True,0.724603192543995,0.7676927547553238,0.6259133737236097,0.13916269527794445,0.2515320545876539,0.8999999999999999,0.38990850617901485,0.0,0.0816642718275309,0.5051606132591722,0.7999999999999999,0.984251968503937,2.4750656167979,2.5146666666666664,"[80, 178, 205, 172, 164, 144]",0.16344256361849394,0.15102605841663058,0.8,0.38425416517820116,0,0.10178336977431902,0.5209626523043409,0.6,0.9103030303030303,1.7212121212121212,1.8908122503328895,"[218, 432, 701, 501, 454, 534]"
LinearSVC,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P40,40.0,"[0.798429, 0.641361, 0.510471, 0.594241, 0.63089, 0.688482]",True,True,0.7779524046898465,0.8189685835733271,0.8163853331203249,0.1602120270858767,0.219354652018772,0.8999999999999999,0.3903167654091392,0.0,0.09518468471539544,0.4989312891892829,0.7999999999999999,0.952755905511811,2.141732283464567,2.2479338842975207,"[77, 137, 187, 155, 141, 119]",0.18021906689438222,0.11668414365724536,0.8,0.3847788677873007,0,0.11349098623617022,0.5162470762942215,0.6,0.8484848484848485,1.4424242424242424,1.7,"[216, 300, 620, 436, 390, 418]"
LinearSVC,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P45,45.0,"[0.848168, 0.727749, 0.562827, 0.65445, 0.675393, 0.751309]",True,True,0.8755660867908328,0.888802330508041,0.8479732673226815,0.2030913751664423,0.16520350258834465,0.8999999999999999,0.3922607140424506,0.0,0.12507674923837972,0.49078665729229554,0.7999999999999999,0.9081364829396326,1.7847769028871392,1.9653179190751446,"[58, 104, 167, 132, 124, 95]",0.21021185873032114,0.07722272328047139,0.8,0.38604398352730374,0,0.13597718935884956,0.5108796529158504,0.6,0.7606060606060606,1.1327272727272728,1.4892430278884463,"[176, 171, 537, 351, 314, 320]"
LinearSVC,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P50,50.0,"[0.866492, 0.767016, 0.620419, 0.693717, 0.732984, 0.806283]",True,True,0.9337656097234127,0.9382465527453396,0.6865042502271328,0.23615202892059214,0.14044859349540914,0.8999999999999999,0.3935405809940991,0.0,0.1493227493431181,0.4829924328453015,0.7999999999999999,0.8398950131233596,1.5170603674540681,1.80625,"[51, 89, 145, 117, 102, 74]",0.23766887349164192,0.05544555283808232,0.8,0.38674410697259975,0,0.15804315241138706,0.5069278739610311,0.6,0.6575757575757576,0.8842424242424243,1.344700460829493,"[147, 110, 412, 306, 258, 226]"
LinearSVC,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P55,55.0,"[0.890052, 0.82199, 0.667539, 0.73822, 0.759162, 0.837696]",True,True,1.043501094581512,0.9675104946465509,0.4716262570669478,0.27172890633697633,0.10653124093530394,0.95,0.3943447639327983,0.0,0.17776970164484956,0.47644641511781793,0.8999999999999998,0.7874015748031497,1.288713910761155,1.6366666666666667,"[42, 68, 127, 100, 92, 62]",0.258002200852423,0.046903781288288364,0.8,0.388040250274721,0,0.17525732638785327,0.5040278417487523,0.6,0.5781818181818181,0.7418181818181818,1.2830188679245285,"[118, 80, 364, 255, 221, 186]"
LinearSVC,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P60,60.0,"[0.91623, 0.871728, 0.71466, 0.803665, 0.78534, 0.861257]",True,True,1.1240500555547548,0.9993977700935698,-0.09334834448542828,0.31518892975352414,0.07003608657600033,0.95,0.3963240412574366,0.0,0.21368700552724115,0.4642768128892657,0.8999999999999998,0.7165354330708661,1.0498687664041995,1.4652014652014653,"[32, 49, 109, 75, 82, 53]",0.3106117805667219,0.02848899384040037,0.75,0.3909166112241606,0,0.22275376107625175,0.4943904826419029,0.49999999999999994,0.4381818181818182,0.5236363636363637,1.195020746887967,"[65, 41, 291, 138, 188, 141]"
LinearSVC,"{'C': 0.5, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P20,20.0,"[0.649215, 0.379581, 0.298429, 0.350785, 0.319372, 0.397906]",True,True,0.5146207443886486,0.6478875085253925,-3.947488971773618,0.06227991857569477,0.4626649767580826,1.0,0.3833526752367881,0.0,0.034286966042643696,0.5162420736036261,0.9999999999999999,1.0,3.6141732283464565,3.6141732283464565,"[134, 237, 268, 248, 260, 230]",0.08098483206225009,0.34698097843013,1.0,0.37961218297757465,0,0.04677734787834095,0.530827935757401,0.9999999999999999,0.996969696969697,2.998787878787879,3.0079027355623102,"[402, 732, 1064, 920, 834, 996]"
LinearSVC,"{'C': 0.5, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P25,25.0,"[0.712042, 0.421466, 0.350785, 0.397906, 0.390052, 0.494764]",True,True,0.5975499458538909,0.7318061004030951,-1.659331591490152,0.08093444384357956,0.3985313279877669,1.0,0.38382276666026055,0.0,0.04525787950862615,0.5139329473493576,0.9999999999999999,1.0,3.241469816272966,3.241469816272966,"[110, 221, 248, 230, 233, 193]",0.09995100821434545,0.2820334492617189,1.0,0.37962847150156204,0,0.058772438415737836,0.5292390235466271,0.9999999999999999,0.9927272727272727,2.606060606060606,2.625152625152625,"[317, 670, 971, 839, 681, 822]"
LinearSVC,"{'C': 0.5, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P30,30.0,"[0.772251, 0.492147, 0.418848, 0.494764, 0.463351, 0.520942]",True,True,0.647183496849458,0.825049064183617,-0.06343959248609854,0.10167277413045528,0.32956697803642165,0.95,0.38359233585141456,0.0,0.05776873018477195,0.5104131553402114,0.8999999999999998,0.9973753280839895,2.8451443569553807,2.8526315789473684,"[87, 194, 222, 193, 205, 183]",0.12556624799227967,0.2145426379881567,1.0,0.3800848472649802,0,0.07570721426937758,0.5272182526744493,0.9999999999999999,0.9654545454545455,2.164242424242424,2.2416823603264278,"[222, 560, 855, 640, 558, 736]"
LinearSVC,"{'C': 0.5, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P35,35.0,"[0.787958, 0.515707, 0.484293, 0.560209, 0.541885, 0.589005]",True,True,0.7202340183348396,0.8317215052233315,0.4733228379530199,0.11779477039289517,0.27277380546176405,0.95,0.38404351134569503,0.0,0.06784356255014341,0.5081025896354464,0.8999999999999998,0.9868766404199475,2.52755905511811,2.5611702127659575,"[81, 185, 197, 168, 175, 157]",0.13879955884426912,0.18120360665771,0.95,0.38041851012257477,0,0.08466140345336724,0.5252920096464321,0.8999999999999998,0.9309090909090909,1.8890909090909092,2.029296875,"[195, 513, 764, 557, 460, 628]"
LinearSVC,"{'C': 0.5, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P40,40.0,"[0.829843, 0.573298, 0.513089, 0.63089, 0.620419, 0.651832]",True,True,0.7939511693737213,0.89173721672115,0.8500629639367574,0.14053972156138617,0.22190004943780556,0.95,0.38437165750046914,0.0,0.08256168548170567,0.5048988845602106,0.8999999999999998,0.9606299212598425,2.1863517060367452,2.2759562841530054,"[65, 163, 186, 141, 145, 133]",0.15952631657649413,0.14208279830652099,0.95,0.3809789948372561,0,0.09917447857055985,0.5225055123711755,0.8999999999999998,0.8824242424242424,1.5787878787878789,1.7891483516483517,"[158, 428, 715, 425, 351, 528]"
LinearSVC,"{'C': 0.5, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P45,45.0,"[0.863874, 0.696335, 0.539267, 0.664921, 0.667539, 0.698953]",True,True,0.8687517534617375,0.7909441787859808,0.787931782091766,0.17702716665131443,0.1840164358481862,0.95,0.385803408862031,0.0,0.10767673204429323,0.5005720303008339,0.8999999999999998,0.9291338582677166,1.874015748031496,2.016949152542373,"[52, 116, 176, 128, 127, 115]",0.18607455528301392,0.10980829623596564,0.75,0.3822597324631081,0,0.11844920372700347,0.5181183133754328,0.49999999999999994,0.8254545454545454,1.2975757575757576,1.5719530102790016,"[129, 230, 680, 364, 311, 427]"
LinearSVC,"{'C': 0.5, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P50,50.0,"[0.884817, 0.759162, 0.578534, 0.701571, 0.698953, 0.782723]",True,True,0.9315367425234009,0.8806568081484576,0.8195082695720488,0.21247190230359536,0.15719287376082397,0.95,0.3875257132687651,0.0,0.13326090675310792,0.49393117293558897,0.8999999999999998,0.8740157480314961,1.5984251968503937,1.8288288288288288,"[44, 92, 161, 114, 115, 83]",0.21080189850114545,0.08502828430968798,0.8,0.3829439798566665,0,0.13756050306058543,0.5149966761525774,0.6,0.7521212121212121,1.0793939393939394,1.435132957292506,"[112, 173, 631, 313, 247, 305]"
LinearSVC,"{'C': 0.5, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P55,55.0,"[0.900524, 0.780105, 0.657068, 0.743455, 0.73822, 0.811518]",True,True,0.9831844523048662,0.9229221580508943,0.62241733002246,0.2351506480439318,0.12843037595836093,0.95,0.38821393406431765,0.0,0.15017129483776762,0.4884451025070698,0.8999999999999998,0.8267716535433071,1.372703412073491,1.6603174603174604,"[38, 84, 131, 98, 100, 72]",0.2309983551055603,0.06324865669061591,0.8,0.3839081987864993,0,0.15394789725470162,0.5124969619998,0.6,0.6418181818181818,0.8503030303030303,1.3248347497639283,"[83, 140, 462, 252, 209, 257]"
LinearSVC,"{'C': 0.5, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P60,60.0,"[0.921466, 0.853403, 0.725131, 0.782723, 0.764398, 0.842932]",True,True,1.0344696474099175,0.9531464859037642,0.20799677550214823,0.26363238326663874,0.10623784526653539,0.95,0.39025036469938057,0.0,0.17140328031749413,0.47875590938930773,0.8999999999999998,0.7217847769028871,1.1128608923884515,1.541818181818182,"[30, 56, 105, 83, 90, 60]",0.2769044990188384,0.039679428382694185,0.75,0.38640471755873257,0,0.19327709771867252,0.504713803472949,0.49999999999999994,0.5248484848484849,0.636969696969697,1.2136258660508081,"[50, 56, 353, 207, 190, 195]"
LinearSVC,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P20,20.0,"[0.641361, 0.356021, 0.311518, 0.332461, 0.311518, 0.350785]",True,True,0.49390190425870045,0.6236624941595097,-4.944570698983258,0.05423930843521042,0.4747164505035723,1.0,0.38126348775687435,0.0,0.02965247612885473,0.5170436884243218,0.9999999999999999,1.0,3.706036745406824,3.706036745406824,"[137, 246, 263, 255, 263, 248]",0.07090058040305487,0.36077782464695846,1.0,0.378465794678044,0,0.04055860531829015,0.5314893833884738,0.9999999999999999,0.9987878787878788,3.1418181818181816,3.145631067961165,"[430, 828, 1061, 976, 826, 1063]"
LinearSVC,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 5000, 'tol': 0.0001, 'random_state': 13}",P25,25.0,"[0.727749, 0.418848, 0.350785, 0.413613, 0.387435, 0.492147]",True,True,0.6002758982832438,0.7181980953063837,-1.7708987690500377,0.07895054471456295,0.3930506994177397,1.0,0.3812535099547349,0.0,0.044042633537777084,0.513807280563049,0.9999999999999999,0.9973753280839895,3.2178477690288716,3.2263157894736842,"[104, 222, 248, 224, 234, 194]",0.09604784215253297,0.29139349183296587,1.0,0.37847914995605497,0,0.05629984232537173,0.5298637300755605,0.9999999999999999,0.9890909090909091,2.6175757575757577,2.6464460784313726,"[295, 714, 1006, 814, 710, 780]"
