verb,level,freq,sources
abstract,An,1,sharunova
abstract,Sn,1,sharunova
accept,An,1,sharunova
access,Ev,1,sharunova
acquire,Kn,1,sharunova
acquire,Ap,2,sharunova
act,Ap,19,sharunova+stanny2016
adapt,Ap,4,sharunova+stanny2016
adapt,Sn,2,sharunova
add,Cm,2,sharunova
administer,Ap,2,sharunova
administer,An,1,sharunova
advise,Sn,1,sharunova
advise,Ev,1,sharunova
allocate,Ap,2,sharunova
allow,An,1,sharunova
alphabetize,Ap,3,sharunova
amend,Ap,1,sharunova
analyze,An,24,newton2020+sharunova+stanny2016
animate,Sn,2,sharunova
anticipate,Sn,2,sharunova
apply,Ap,22,newton2020+sharunova+stanny2016
apply,An,1,sharunova
appraise,Ap,1,sharunova
appraise,An,11,sharunova+stanny2016
appraise,Ev,22,sharunova+stanny2016
approximate,Cm,2,sharunova
arbitrate,Sn,1,sharunova
argue,Sn,1,newton2020
argue,Ev,12,sharunova+stanny2016
arrange,Kn,6,sharunova+stanny2016
arrange,Cm,1,sharunova
arrange,An,2,sharunova
arrange,Sn,22,sharunova+stanny2016
arrange,Ev,5,stanny2016
articulate,Cm,4,sharunova+stanny2016
articulate,Ap,1,sharunova
ascertain,Ap,2,sharunova
assemble,Sn,14,sharunova+stanny2016
assess,Ap,1,sharunova
assess,Sn,1,sharunova
assess,Ev,17,newton2020+sharunova+stanny2016
assign,Ap,2,sharunova
associate,Cm,4,sharunova+stanny2016
attach,Ev,4,sharunova+stanny2016
attain,Ap,2,sharunova
audit,An,3,sharunova
authenticate,Ev,1,sharunova
avoid,Ap,2,sharunova
back up,Ap,1,sharunova
blueprint,An,2,sharunova
breadboard,An,2,sharunova
break,An,8,stanny2016
breakdown,An,8,sharunova
brief,Sn,1,sharunova
budget,Sn,2,sharunova
build,Ap,1,sharunova
calculate,Ap,10,sharunova+stanny2016
calculate,An,9,newton2020+sharunova+stanny2016
capture,Ap,3,sharunova
carry out,Ap,1,sharunova
categorize,An,19,newton2020+sharunova+stanny2016
categorize,Sn,7,sharunova+stanny2016
category,An,1,sharunova
change,Ap,9,sharunova+stanny2016
change,An,1,sharunova
characterize,Cm,4,sharunova+stanny2016
characterize,An,3,sharunova
chart,Ap,3,sharunova
chart,An,1,sharunova
check,An,1,sharunova
choose,Kn,4,stanny2016
choose,Ap,11,newton2020+sharunova+stanny2016
choose,An,1,sharunova
choose,Sn,7,sharunova+stanny2016
choose,Ev,10,sharunova+stanny2016
chunk,An,1,sharunova
cite,Kn,17,sharunova+stanny2016
cite,Cm,4,sharunova+stanny2016
clarify,Cm,5,sharunova+stanny2016
classify,Cm,18,newton2020+sharunova+stanny2016
classify,Ap,6,sharunova+stanny2016
classify,An,10,sharunova+stanny2016
code,Ap,1,sharunova
code,Sn,2,sharunova
collaborate,Sn,1,sharunova
collect,Kn,2,sharunova
collect,Ap,1,sharunova
collect,Sn,10,sharunova+stanny2016
combine,Sn,14,sharunova+stanny2016
communicate,Sn,2,sharunova
compare,Cm,11,sharunova+stanny2016
compare,Ap,1,sharunova
compare,An,24,newton2020+sharunova+stanny2016
compare,Sn,1,sharunova
compare,Ev,18,sharunova+stanny2016
compile,Sn,7,sharunova+stanny2016
complete,Ap,6,sharunova+stanny2016
comply,Ap,1,sharunova
comply,Sn,3,sharunova
compose,Sn,19,newton2020+sharunova+stanny2016
compute,Cm,2,sharunova
compute,Ap,10,sharunova+stanny2016
compute,An,1,sharunova
concatenate,Ap,1,sharunova
conclude,Cm,2,sharunova
conclude,An,6,stanny2016
conclude,Ev,13,sharunova+stanny2016
conduct,Ap,1,sharunova
conduct,Sn,1,sharunova
confirm,An,2,sharunova
connect,An,2,sharunova
consider,Ev,2,sharunova
consolidate,Sn,1,sharunova
consolidate,Ev,1,sharunova
construct,Ap,13,sharunova+stanny2016
construct,Sn,29,sharunova+stanny2016
consult,Ap,1,sharunova
contrast,Cm,7,sharunova+stanny2016
