verb,level,freq
list,Kn,20
name,Kn,18
define,Kn,16
repeat,Kn,15
state,Kn,15
label,Kn,14
recall,Kn,14
identify,Kn,13
reproduce,Kn,12
describe,Kn,12
recognize,Kn,11
select,Kn,10
record,Kn,10
match,Kn,9
relate,Kn,9
memorize,Kn,9
outline,Kn,6
quote,Kn,6
enumerate,Kn,6
write,Kn,6
tell,Kn,5
recite,Kn,4
cite,Kn,4
duplicate,Kn,4
read,Kn,4
order,Kn,3
tabulate,Kn,3
draw,Kn,3
review,Kn,3
indicate,Kn,3
underline,Kn,3
arrange,Kn,3
know,Kn,2
point,Kn,2
count,Kn,2
collect,Kn,2
meet,Kn,2
study,Kn,2
trace,Kn,2
find,Kn,2
index,Kn,2
locate,Kn,2
show,Kn,1
visualize,Kn,1
examine,Kn,1
copy,Kn,1
sequence,Kn,1
acquire,Kn,1
retell,Kn,1
view,Kn,1
observe,Kn,1
tally,Kn,1
imitate,Kn,1
follow,Kn,1
explain,Cm,19
describe,Cm,18
discuss,Cm,18
paraphrase,Cm,14
restate,Cm,13
summarize,Cm,13
translate,Cm,10
convert,Cm,10
review,Cm,10
express,Cm,10
estimate,Cm,10
identify,Cm,10
generalize,Cm,10
interpret,Cm,10
locate,Cm,10
give,Cm,10
distinguish,Cm,10
extend,Cm,9
predict,Cm,9
recognize,Cm,9
defend,Cm,8
classify,Cm,8
infer,Cm,7
report,Cm,7
illustrate,Cm,7
rewrite,Cm,6
select,Cm,5
contrast,Cm,5
differentiate,Cm,5
compare,Cm,5
indicate,Cm,3
exemplify,Cm,3
observe,Cm,3
elaborate,Cm,3
associate,Cm,3
visualize,Cm,2
articulate,Cm,2
clarify,Cm,2
subtract,Cm,2
approximate,Cm,2
interpolate,Cm,2
tell,Cm,2
detail,Cm,2
outline,Cm,2
cite,Cm,2
picture,Cm,2
interact,Cm,2
conclude,Cm,2
characterize,Cm,2
add,Cm,2
factor,Cm,2
compute,Cm,2
match,Cm,1
schedule,Cm,1
order,Cm,1
sketch,Cm,1
draw,Cm,1
define,Cm,1
operate,Cm,1
arrange,Cm,1
group,Cm,1
extrapolate,Cm,1
diagram,Cm,1
interrelate,Cm,1
represent,Cm,1
trace,Cm,1
shop,Cm,1
suggest,Cm,1
understand,Cm,1
demonstrate,Ap,18
use,Ap,17
apply,Ap,17
solve,Ap,17
illustrate,Ap,15
dramatize,Ap,13
practise,Ap,13
employ,Ap,12
operate,Ap,12
sketch,Ap,11
prepare,Ap,11
show,Ap,11
compute,Ap,10
relate,Ap,10
construct,Ap,10
interpret,Ap,10
discover,Ap,9
change,Ap,9
produce,Ap,9
manipulate,Ap,8
schedule,Ap,8
modify,Ap,8
predict,Ap,8
complete,Ap,6
choose,Ap,6
classify,Ap,6
translate,Ap,5
determine,Ap,5
examine,Ap,5
calculate,Ap,5
investigate,Ap,4
draw,Ap,4
write,Ap,4
protect,Ap,3
derive,Ap,3
chart,Ap,3
alphabetize,Ap,3
simulate,Ap,3
process,Ap,3
provide,Ap,3
capture,Ap,3
project,Ap,3
transcribe,Ap,3
organize,Ap,3
shop,Ap,3
establish,Ap,3
attain,Ap,2
graph,Ap,2
assign,Ap,2
allocate,Ap,2
convert,Ap,2
experiment,Ap,2
exercise,Ap,2
diminish,Ap,2
make,Ap,2
develop,Ap,2
ascertain,Ap,2
tabulate,Ap,2
depreciate,Ap,2
subscribe,Ap,2
implement,Ap,2
handle,Ap,2
