model,seed,macro_AUC,macro_F1,micro_F1,subset_acc,hamming,AUC_Kn,F1_Kn,P_Kn,R_Kn,AUC_Cm,F1_Cm,P_Cm,R_Cm,AUC_Ap,F1_Ap,P_Ap,R_Ap,AUC_An,F1_An,P_An,R_An,AUC_Sn,F1_Sn,P_Sn,R_Sn,AUC_Ev,F1_Ev,P_Ev,R_Ev,_oof_score
SGD-hinge-1e4,13,0.6410776861503433,0.4299531968266748,0.43286573146292584,0.05511811023622047,0.37139107611548555,0.7881204684885667,0.423728813559322,0.3968253968253968,0.45454545454545453,0.6784488071133022,0.41545893719806765,0.3233082706766917,0.581081081081081,0.5564315352697096,0.44375,0.39444444444444443,0.5071428571428571,0.5860763358778627,0.46439628482972134,0.390625,0.5725190839694656,0.6433115118577075,0.4714828897338403,0.45925925925925926,0.484375,0.5940774582949115,0.3609022556390977,0.25668449197860965,0.6075949367088608,"[[0.01290866 0.97640721 0.52144    0.74386595 0.2833828  0.36792915]
 [0.56762504 0.62647879 0.51977199 0.1733827  0.05419305 0.27993266]
 [0.44142324 0.63608266 0.45933556 0.09061829 0.22166966 0.49378895]
 ...
 [0.54678797 0.88253664 0.86633387 0.4761335  0.28890149 0.82347539]
 [0.19868689 0.35593597 0.57510164 0.03049089 0.31983581 0.57322569]
 [0.93726099 0.41371276 0.71085626 0.29808877 0.61464003 0.60219497]]"
SGD-hinge-1e4,14,0.656252681438564,0.4186080828029557,0.4229390681003584,0.047244094488188976,0.3521434820647419,0.8401561628555493,0.43636363636363634,0.43636363636363634,0.43636363636363634,0.6227220706048068,0.3368421052631579,0.27586206896551724,0.43243243243243246,0.5850622406639004,0.43508771929824563,0.42758620689655175,0.44285714285714284,0.5728549618320611,0.46864686468646866,0.4127906976744186,0.5419847328244275,0.6742527173913043,0.47470817120622566,0.4728682170542636,0.4765625,0.6424679352837622,0.36,0.2631578947368421,0.569620253164557,"[[0.29152623 0.86113137 0.67970089 0.48442502 0.50867721 0.51698263]
 [0.38421777 0.42472693 0.26813013 0.38397518 0.003367   0.32769975]
 [0.30891407 0.32111186 0.68571942 0.14849524 0.67156204 0.50250251]
 ...
 [0.65081258 0.89348527 0.4721708  0.19953009 0.35806566 0.35872022]
 [0.56624306 0.11569906 0.33536807 0.63439551 0.07284999 0.48615273]
 [0.87653209 0.52587588 0.45638899 0.28984363 0.8326897  0.54269923]]"
SGD-hinge-1e4,15,0.653850486208645,0.4153811164283929,0.427681660899654,0.07086614173228346,0.36176727909011375,0.8016174010039041,0.34234234234234234,0.3392857142857143,0.34545454545454546,0.6972444757461044,0.4069264069264069,0.29936305732484075,0.6351351351351351,0.5943390634262002,0.4459016393442623,0.4121212121212121,0.4857142857142857,0.5880000000000001,0.46905537459283386,0.4090909090909091,0.549618320610687,0.6533782114624506,0.4961832061068702,0.48507462686567165,0.5078125,0.5885237656132115,0.3318777292576419,0.25333333333333335,0.4810126582278481,"[[0.21752141 0.92049915 0.77644538 0.71931897 0.14417226 0.33779348]
 [0.63457246 0.84281807 0.56990955 0.16420087 0.03619778 0.20416642]
 [0.135874   0.40974174 0.81649643 0.11021459 0.60616134 0.34015801]
 ...
 [0.77933025 0.97498597 0.57392628 0.23301809 0.22702282 0.81772626]
 [0.37550214 0.31601938 0.18268341 0.019623   0.10821866 0.67724091]
 [0.69844205 0.32283149 0.44970785 0.30863457 0.79179503 0.50659176]]"
SGD-hinge-1e4,16,0.6508328544153007,0.44330898497826693,0.44873501997336884,0.06561679790026247,0.36220472440944884,0.7961517010596765,0.453125,0.3972602739726027,0.5272727272727272,0.6494409719165419,0.3739130434782609,0.27564102564102566,0.581081081081081,0.558195020746888,0.4809384164222874,0.4079601990049751,0.5857142857142857,0.5896488549618321,0.40458015267175573,0.40458015267175573,0.40458015267175573,0.661715662055336,0.5472972972972973,0.48214285714285715,0.6328125,0.6498449157515298,0.4,0.29518072289156627,0.620253164556962,"[[0.02088292 0.97510299 0.54954246 0.54882805 0.30036189 0.28341208]
 [0.72194619 0.73194468 0.63102014 0.54184006 0.05569482 0.54245104]
 [0.25574168 0.35880002 0.99272687 0.54456337 0.49785033 0.34234281]
 ...
 [0.64530783 0.95228437 0.60132095 0.39874735 0.53337339 0.82409266]
 [0.4935002  0.33323432 0.55534101 0.14675572 0.19831195 0.60663774]
 [0.87244897 0.53935011 0.49525163 0.44446576 0.9475149  0.74448019]]"
SGD-hinge-1e4,17,0.6418012560600374,0.4258537731140471,0.4280701754385965,0.07874015748031496,0.3565179352580927,0.8338538761851646,0.47692307692307695,0.41333333333333333,0.5636363636363636,0.5952108460251783,0.35454545454545455,0.2671232876712329,0.527027027027027,0.5216656787196206,0.3783783783783784,0.358974358974359,0.4,0.6269007633587785,0.4931506849315068,0.4472049689440994,0.549618320610687,0.629786314229249,0.4931506849315068,0.43902439024390244,0.5625,0.6433900578422332,0.358974358974359,0.3017241379310345,0.4430379746835443,"[[0.06407269 0.93403115 0.43646619 0.59196419 0.33636403 0.37697797]
 [0.82087084 0.51962183 0.91598403 0.31476053 0.10615383 0.26973217]
 [0.54234811 0.71555708 0.49466057 0.08422752 0.93197938 0.30135904]
 ...
 [0.6187554  0.97029522 0.67166571 0.37289587 0.26973164 0.50726563]
 [0.33600274 0.3378907  0.55280814 0.27817602 0.18326695 0.38600422]
 [0.94389748 0.42189798 0.44175639 0.58826014 0.88612808 0.36968514]]"
SGD-log-1e5,13,0.6525549062043008,0.439500321049032,0.4449152542372881,0.06824146981627296,0.3438320209973753,0.8110429447852762,0.45454545454545453,0.38961038961038963,0.5454545454545454,0.6701294128004225,0.39790575916230364,0.3247863247863248,0.5135135135135135,0.5568168346176645,0.43853820598006643,0.40993788819875776,0.4714285714285714,0.6043358778625955,0.4778156996587031,0.43209876543209874,0.5343511450381679,0.6631669960474309,0.5195729537366548,0.477124183006536,0.5703125,0.6098373711124151,0.3486238532110092,0.2733812949640288,0.4810126582278481,"[[0.08205045 0.96374955 0.54392962 0.60832064 0.22527559 0.31189668]
 [0.70623804 0.55169434 0.43253118 0.15814224 0.0230188  0.23216951]
 [0.31907855 0.58523027 0.52892069 0.01964008 0.29517616 0.39624283]
 ...
 [0.42562993 0.9424849  0.80313476 0.39345851 0.41593451 0.76359093]
 [0.49869513 0.24610087 0.52393718 0.03950794 0.28625435 0.52207061]
 [0.9679952  0.28432289 0.70900329 0.15794715 0.59334779 0.35494321]]"
SGD-log-1e5,14,0.6586859376311912,0.43259093420086353,0.4377564979480164,0.05249343832020997,0.35958005249343833,0.839431121026213,0.4628099173553719,0.42424242424242425,0.509090909090909,0.6350470992164803,0.3251231527093596,0.2558139534883721,0.44594594594594594,0.5786010669828098,0.4695121951219512,0.4095744680851064,0.55,0.5652213740458015,0.4527027027027027,0.40606060606060607,0.5114503816793893,0.6757966897233203,0.5072463768115942,0.47297297297297297,0.546875,0.6580182747925225,0.37815126050420167,0.2830188679245283,0.569620253164557,"[[0.03388605 0.87573556 0.76737404 0.50547946 0.65238477 0.32614264]
 [0.47661583 0.48686228 0.37641621 0.35635741 0.02721008 0.30010347]
 [0.30751752 0.29536688 0.80954981 0.0724208  0.72167693 0.61826018]
 ...
 [0.51141397 0.91982259 0.60269348 0.16311066 0.47359905 0.44780384]
 [0.36234753 0.04933252 0.44784131 0.62727819 0.08144534 0.37886466]
 [0.92522129 0.46012642 0.51039508 0.11005293 0.90114291 0.44029007]]"
SGD-log-1e5,15,0.6596002925494894,0.4387540446733718,0.44367176634214184,0.06561679790026247,0.34995625546806647,0.8230340211935304,0.4406779661016949,0.4126984126984127,0.4727272727272727,0.6953076855356987,0.41706161137440756,0.32116788321167883,0.5945945945945946,0.5908417308832247,0.47648902821316613,0.4245810055865922,0.5428571428571428,0.5897404580152671,0.4421768707482993,0.3987730061349693,0.4961832061068702,0.652822381422925,0.4874551971326165,0.4503311258278146,0.53125,0.6058554782462906,0.3686635944700461,0.2898550724637681,0.5063291139240507,"[[0.27987049 0.88933568 0.69354644 0.55927605 0.10773895 0.15575709]
 [0.60690301 0.84404375 0.73010847 0.11072422 0.09549584 0.2684779 ]
 [0.20484948 0.47357216 0.8425829  0.08103546 0.65823645 0.30394308]
 ...
 [0.63837785 0.98468048 0.56386051 0.29272738 0.20021926 0.84162425]
 [0.40255699 0.33286517 0.26491502 0.08625922 0.14284712 0.62364119]
 [0.84107744 0.2779126  0.4921303  0.39545232 0.88623173 0.38730382]]"
SGD-log-1e5,16,0.6642410462270559,0.4404892204673829,0.441726618705036,0.07349081364829396,0.3394575678040245,0.8343279419966536,0.4566929133858268,0.4027777777777778,0.5272727272727272,0.6561317017343077,0.3864734299516908,0.3007518796992481,0.5405405405405406,0.5602697095435685,0.4585987261146497,0.41379310344827586,0.5142857142857142,0.5962137404580153,0.4014336917562724,0.3783783783783784,0.42748091603053434,0.6598628952569171,0.5075757575757576,0.49264705882352944,0.5234375,0.6786402883728729,0.4321608040201005,0.35833333333333334,0.5443037974683544,"[[0.12708309 0.96163403 0.49520191 0.48621311 0.19069558 0.16738361]
 [0.62641664 0.76303623 0.64014436 0.52329859 0.01971237 0.37452189]
 [0.1179609  0.34821111 0.99382865 0.70283661 0.47129449 0.39948826]
 ...
 [0.49414452 0.99387104 0.62576396 0.38115113 0.55051494 0.82445107]
 [0.52786399 0.17441567 0.44712034 0.26614932 0.15141072 0.70565348]
 [0.90569998 0.33527433 0.43130141 0.40497489 0.87943042 0.61219424]]"
SGD-log-1e5,17,0.6550184449816647,0.441837300604694,0.4413489736070381,0.07086614173228346,0.3333333333333333,0.8344116006692693,0.5081967213114754,0.4626865671641791,0.5636363636363636,0.6192886697772692,0.358974358974359,0.2892561983471074,0.47297297297297297,0.5314759928867813,0.4166666666666667,0.37790697674418605,0.4642857142857143,0.6272213740458016,0.48905109489051096,0.46853146853146854,0.5114503816793893,0.6627964426877471,0.49429657794676807,0.48148148148148145,0.5078125,0.6549165898231202,0.3838383838383838,0.31932773109243695,0.4810126582278481,"[[0.10257228 0.90509152 0.41460088 0.43883415 0.40858715 0.21305293]
 [0.7612967  0.57501641 0.96334865 0.34103267 0.03308936 0.28005518]
 [0.42969718 0.64827918 0.54514674 0.07871622 0.7518433  0.38378711]
 ...
 [0.58460551 0.97431883 0.70955683 0.28854083 0.16376166 0.58298975]
 [0.41013488 0.33512737 0.55040341 0.35884784 0.14675291 0.42989989]
 [0.93387569 0.50203729 0.44552527 0.56733567 0.90846505 0.43982252]]"
