model,seed,macro_AUC,macro_F1,micro_F1,subset_acc,hamming,AUC_Kn,F1_Kn,P_Kn,R_Kn,AUC_Cm,F1_Cm,P_Cm,R_Cm,AUC_Ap,F1_Ap,P_Ap,R_Ap,AUC_An,F1_An,P_An,R_An,AUC_Sn,F1_Sn,P_Sn,R_Sn,AUC_Ev,F1_Ev,P_Ev,R_Ev,_oof_score
SGD-hinge-1e4,13,0.634199625536178,0.4534036871581604,0.4465493910690122,0.06561679790026247,0.357830271216098,0.8685443390964863,0.5970149253731343,0.5063291139240507,0.7272727272727273,0.6021876925785721,0.36363636363636365,0.2814814814814815,0.5135135135135135,0.5557794902193243,0.4567901234567901,0.40217391304347827,0.5285714285714286,0.5501984732824428,0.4605263157894737,0.4046242774566474,0.5343511450381679,0.5546257411067194,0.4444444444444444,0.38202247191011235,0.53125,0.6738620169335234,0.39800995024875624,0.32786885245901637,0.5063291139240507,"[[0.1658857  0.68739459 0.42095244 0.53726744 0.89113448 0.78724403]
 [0.66718998 0.78831657 0.78777388 0.73212305 0.48393437 0.83811306]
 [0.56783148 0.78784598 0.35497931 0.48451134 0.29357426 0.10537025]
 ...
 [0.45064073 0.98515175 0.66362306 0.65936569 0.08232979 0.78475658]
 [0.37252854 0.92596691 0.86120922 0.03495125 0.26781567 0.20481211]
 [0.96817796 0.61029131 0.27680967 0.27603404 0.25108339 0.75839396]]"
SGD-hinge-1e4,14,0.6462488419431832,0.42935761741156425,0.4263408010862186,0.06824146981627296,0.36964129483814523,0.8469604015616286,0.49673202614379086,0.3877551020408163,0.6909090909090909,0.6173518795668633,0.35454545454545455,0.2671232876712329,0.527027027027027,0.5271784232365145,0.3973509933774834,0.37037037037037035,0.42857142857142855,0.5759083969465648,0.41522491349480967,0.379746835443038,0.4580152671755725,0.6052989130434783,0.48109965635738833,0.4294478527607362,0.546875,0.704795037304049,0.43119266055045874,0.3381294964028777,0.5949367088607594,"[[0.09477991 0.82705037 0.56895239 0.88125101 0.89640271 0.82569929]
 [0.27410845 0.86693825 0.66271082 0.68125881 0.51710955 0.89685633]
 [0.78866519 0.56539177 0.25065659 0.62702643 0.28967463 0.37881917]
 ...
 [0.75888871 0.85563999 0.62391102 0.57579398 0.1614664  0.78978758]
 [0.52625956 0.82782473 0.93948417 0.89313562 0.20188564 0.47477494]
 [0.98586776 0.66070866 0.70829176 0.18260446 0.80244781 0.81424967]]"
SGD-hinge-1e4,15,0.6454838227436007,0.43495443627047187,0.43070652173913043,0.05774278215223097,0.3665791776027997,0.8486335750139431,0.5255474452554745,0.43902439024390244,0.6545454545454545,0.6336825424773308,0.34334763948497854,0.25157232704402516,0.5405405405405406,0.542575577949022,0.45427728613569324,0.3869346733668342,0.55,0.603114503816794,0.4641638225255973,0.41975308641975306,0.5190839694656488,0.5651247529644269,0.4013377926421405,0.3508771929824561,0.46875,0.6797719842400872,0.42105263157894735,0.391304347826087,0.45569620253164556,"[[0.26869808 0.97936125 0.08743924 0.77973439 0.95799509 0.30633092]
 [0.62271899 0.90552543 0.98614466 0.8151526  0.35205838 0.58268616]
 [0.3512822  0.40004987 0.47127625 0.83027587 0.09991431 0.20076588]
 ...
 [0.53676569 0.93169925 0.82893889 0.87230392 0.29642161 0.71944021]
 [0.36685687 0.7365553  0.97563838 0.36091886 0.31494993 0.23147977]
 [0.86075696 0.42174239 0.51783557 0.35945759 0.72803933 0.76911409]]"
SGD-hinge-1e4,16,0.6566299862337471,0.4448003508736631,0.4493333333333333,0.05249343832020997,0.36132983377077865,0.8132738427216955,0.45161290322580644,0.35,0.6363636363636364,0.6635267189013119,0.3813559322033898,0.2777777777777778,0.6081081081081081,0.5729697688203912,0.5014925373134328,0.4307692307692308,0.6,0.6116946564885496,0.4768211920529801,0.42105263157894735,0.549618320610687,0.5714241600790514,0.4250871080139373,0.3836477987421384,0.4765625,0.706890770391483,0.43243243243243246,0.37735849056603776,0.5063291139240507,"[[0.27942313 0.96990921 0.6981997  0.66319002 0.66810658 0.62864956]
 [0.80141765 0.88741203 0.88051376 0.70298128 0.11627823 0.84456215]
 [0.20213622 0.15481683 0.72403284 0.87112208 0.11429747 0.25433358]
 ...
 [0.82991903 0.94115834 0.49784336 0.5697156  0.02479707 0.56129258]
 [0.61810777 0.94277214 0.95749416 0.31619823 0.20421334 0.48920806]
 [0.93313419 0.34733714 0.30469036 0.35243192 0.63955875 0.61634024]]"
SGD-hinge-1e4,17,0.6361560398251612,0.42121014523887507,0.423728813559322,0.08136482939632546,0.3569553805774278,0.836084774121584,0.43859649122807015,0.423728813559322,0.45454545454545453,0.6144026762919271,0.37438423645320196,0.29457364341085274,0.5135135135135135,0.5724955542382928,0.47840531561461797,0.4472049689440994,0.5142857142857142,0.5291908396946565,0.3888888888888889,0.35668789808917195,0.42748091603053434,0.5902297430830039,0.44089456869009586,0.372972972972973,0.5390625,0.6745326515215023,0.40609137055837563,0.3389830508474576,0.5063291139240507,"[[0.10269238 0.8061897  0.0449582  0.84592589 0.84719364 0.84721913]
 [0.71852302 0.61472232 0.92530798 0.66537404 0.38757785 0.88053275]
 [0.26118598 0.38810349 0.52397818 0.85607706 0.15990066 0.05005824]
 ...
 [0.52053179 0.99400793 0.54938879 0.86185867 0.12893595 0.83294196]
 [0.33569192 0.65455214 0.53187247 0.26653463 0.4034148  0.5464059 ]
 [0.97201968 0.16278929 0.41269621 0.40413124 0.67448371 0.8127096 ]]"
SGD-log-1e5,13,0.6396545266015171,0.426423737887984,0.42082738944365194,0.07874015748031496,0.3552055993000875,0.8755158951477969,0.5263157894736842,0.5084745762711864,0.5454545454545454,0.6138304428206709,0.3492063492063492,0.28695652173913044,0.44594594594594594,0.5582098399525786,0.4407894736842105,0.40853658536585363,0.4785714285714286,0.5527175572519084,0.42857142857142855,0.38650306748466257,0.48091603053435117,0.557126976284585,0.41007194244604317,0.38,0.4453125,0.6805264481515633,0.40358744394618834,0.3125,0.569620253164557,"[[0.07866906 0.53906018 0.59700582 0.57172036 0.81801844 0.8274137 ]
 [0.70098634 0.67232383 0.85642605 0.6248427  0.24642812 0.91206057]
 [0.60021093 0.67981534 0.3517436  0.40692582 0.22952644 0.12020403]
 ...
 [0.45096134 0.97856539 0.70303397 0.71783681 0.03598526 0.83529143]
 [0.38834    0.84223598 0.93561306 0.04561023 0.22837041 0.30343364]
 [0.9576491  0.5583438  0.24140102 0.18701004 0.12566265 0.77713227]]"
SGD-log-1e5,14,0.6558581664261572,0.45423462041416657,0.44697508896797156,0.08398950131233596,0.33989501312335957,0.8713329615170106,0.5585585585585585,0.5535714285714286,0.5636363636363636,0.6209613522317106,0.3592233009708738,0.2803030303030303,0.5,0.53814463544754,0.4473684210526316,0.4146341463414634,0.4857142857142857,0.5678473282442749,0.4429530201342282,0.39520958083832336,0.5038167938931297,0.6142539525691699,0.46938775510204084,0.41566265060240964,0.5390625,0.7226087685472378,0.4479166666666667,0.3805309734513274,0.5443037974683544,"[[0.02024    0.90352272 0.46804196 0.86706639 0.93936657 0.76035928]
 [0.56292545 0.65013794 0.73066218 0.60609691 0.52428046 0.95018249]
 [0.39606207 0.44937397 0.39067008 0.5739505  0.19016536 0.2743912 ]
 ...
 [0.52450578 0.857136   0.82156975 0.45325129 0.16259281 0.78109059]
 [0.40514449 0.86287733 0.96093672 0.86766866 0.09326397 0.291672  ]
 [0.964499   0.7111744  0.56468843 0.2028759  0.75884943 0.64051544]]"
SGD-log-1e5,15,0.6497600382009855,0.4348948617556064,0.4263959390862944,0.08136482939632546,0.3460192475940507,0.8586726157278305,0.5565217391304348,0.5333333333333333,0.5818181818181818,0.6438727000616251,0.3431372549019608,0.2692307692307692,0.47297297297297297,0.5425311203319502,0.43870967741935485,0.4,0.4857142857142857,0.6015877862595419,0.43416370106761565,0.4066666666666667,0.46564885496183206,0.5680583003952568,0.41638225255972694,0.3696969696969697,0.4765625,0.6838377064297091,0.42045454545454547,0.38144329896907214,0.46835443037974683,"[[0.12725844 0.96700911 0.03034945 0.66199797 0.93721551 0.45675611]
 [0.73902036 0.70170365 0.98615784 0.66100863 0.43983792 0.50160124]
 [0.41367666 0.51780512 0.61042081 0.86146436 0.10103402 0.12801009]
 ...
 [0.51340556 0.9154114  0.78167382 0.75305284 0.20076419 0.77793376]
 [0.22571277 0.80479446 0.98749394 0.56547485 0.24546432 0.09879591]
 [0.88899462 0.50540262 0.56867653 0.55226178 0.73108542 0.75884463]]"
SGD-log-1e5,16,0.6625668814761244,0.4461309674798539,0.4449244060475162,0.06036745406824147,0.33727034120734906,0.8505298382598996,0.5128205128205128,0.4838709677419355,0.5454545454545454,0.66203010828418,0.3553299492385787,0.2845528455284553,0.47297297297297297,0.5706876111440427,0.4482758620689655,0.43333333333333335,0.4642857142857143,0.6090992366412213,0.48299319727891155,0.43558282208588955,0.5419847328244275,0.5788043478260869,0.4452054794520548,0.39634146341463417,0.5078125,0.704250146701316,0.4321608040201005,0.35833333333333334,0.5443037974683544,"[[0.11008853 0.86418963 0.62385911 0.56726291 0.71645361 0.62690469]
 [0.81069595 0.76711921 0.75082571 0.73484034 0.04544724 0.83705071]
 [0.17977262 0.23240103 0.72077422 0.82645382 0.0933103  0.20353857]
 ...
 [0.48430426 0.92443797 0.58159745 0.50975738 0.02463221 0.48887424]
 [0.65370079 0.92636839 0.88937601 0.30010529 0.07571581 0.34445956]
 [0.91608817 0.55536503 0.2541007  0.32359176 0.73044463 0.7110059 ]]"
SGD-log-1e5,17,0.6371819864491509,0.42518014138549937,0.4220449601160261,0.08136482939632546,0.34864391951006124,0.8504182933630786,0.5048543689320388,0.5416666666666666,0.4727272727272727,0.6080200721894533,0.36363636363636365,0.2814814814814815,0.5135135135135135,0.5744516893894488,0.4716981132075472,0.42134831460674155,0.5357142857142857,0.5237557251908397,0.3829787234042553,0.3576158940397351,0.4122137404580153,0.5869256422924901,0.43902439024390244,0.39622641509433965,0.4921875,0.6795204962695951,0.3888888888888889,0.3465346534653465,0.4430379746835443,"[[0.07919645 0.86819198 0.0728095  0.74772304 0.77969497 0.7824601 ]
 [0.7663544  0.59346929 0.97288077 0.51665813 0.33204836 0.86159993]
 [0.2779815  0.4458392  0.3626614  0.89548643 0.20070224 0.03338329]
 ...
 [0.57627455 0.97656773 0.66706786 0.89846099 0.08945538 0.72315019]
 [0.43998556 0.77331794 0.67161945 0.33369794 0.2544981  0.34316503]
 [0.97700512 0.30800648 0.53099464 0.265811   0.62344273 0.74488929]]"
