model,seed,macro_AUC,macro_F1,micro_F1,subset_acc,hamming,AUC_Kn,F1_Kn,P_Kn,R_Kn,AUC_Cm,F1_Cm,P_Cm,R_Cm,AUC_Ap,F1_Ap,P_Ap,R_Ap,AUC_An,F1_An,P_An,R_An,AUC_Sn,F1_Sn,P_Sn,R_Sn,AUC_Ev,F1_Ev,P_Ev,R_Ev,_oof_score
SGD-hinge-1e4,13,0.6632733464949767,0.448411780172478,0.4573170731707317,0.11548556430446194,0.3114610673665792,0.796430563301729,0.411214953271028,0.4230769230769231,0.4,0.6784928250726296,0.42162162162162165,0.35135135135135137,0.527027027027027,0.6054979253112034,0.49295774647887325,0.4861111111111111,0.5,0.6209465648854963,0.47107438016528924,0.5135135135135135,0.4351145038167939,0.6034461462450593,0.4878048780487805,0.44025157232704404,0.546875,0.6748260541537429,0.4057971014492754,0.328125,0.5316455696202531,"[[0.74099553 0.70853849 0.2846036  0.05161848 0.44001719 0.56819408]
 [0.77291248 0.57764126 0.37693202 0.23852913 0.39432374 0.71406747]
 [0.70010362 0.6301779  0.47360704 0.29906052 0.75341204 0.42668812]
 ...
 [0.21332065 0.99347668 0.81946408 0.69229366 0.40449894 0.26265245]
 [0.6216861  0.76340473 0.5809247  0.14668339 0.41707334 0.78325333]
 [0.96271785 0.29068777 0.20758396 0.66340341 0.44086249 0.34209278]]"
SGD-hinge-1e4,14,0.6698613507025194,0.4524664528468891,0.4501510574018127,0.08398950131233596,0.3184601924759405,0.7998884551031791,0.49557522123893805,0.4827586206896552,0.509090909090909,0.6648912756404612,0.4294478527607362,0.39325842696629215,0.47297297297297297,0.5724066390041493,0.3958333333333333,0.38513513513513514,0.40714285714285714,0.6669312977099237,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.6082015810276679,0.47619047619047616,0.42168674698795183,0.546875,0.7068488557297342,0.4215686274509804,0.344,0.5443037974683544,"[[0.54050701 0.81907208 0.04176885 0.33807938 0.33472606 0.47631424]
 [0.78598171 0.54982113 0.37537431 0.35767075 0.91362681 0.52037068]
 [0.54721874 0.14009949 0.89469538 0.7675003  0.7459266  0.50665747]
 ...
 [0.31363059 0.96217403 0.59120473 0.83168312 0.63503143 0.31181442]
 [0.49161833 0.15492143 0.64641917 0.40411522 0.76631518 0.71177139]
 [0.95745281 0.4967374  0.40057042 0.50299607 0.72499762 0.31786375]]"
SGD-hinge-1e4,15,0.6630958982459884,0.4410928611345024,0.4430290162774239,0.08661417322834646,0.3442694663167104,0.7878416062465142,0.43243243243243246,0.34408602150537637,0.5818181818181818,0.7122986178360772,0.43373493975903615,0.391304347826087,0.4864864864864865,0.5713100177830468,0.44518272425249167,0.4161490683229814,0.4785714285714286,0.6483664122137405,0.4981132075471698,0.4925373134328358,0.5038167938931297,0.5965909090909092,0.4620938628158845,0.42953020134228187,0.5,0.6621678263056417,0.375,0.2711864406779661,0.6075949367088608,"[[0.96419673 0.92850648 0.10807537 0.4757816  0.79246224 0.15849117]
 [0.79369595 0.39345143 0.27730509 0.60624389 0.57105258 0.49044292]
 [0.7489884  0.19813997 0.63100398 0.86505954 0.64179753 0.50454767]
 ...
 [0.22818462 0.89394359 0.69598331 0.42253035 0.71724346 0.36756896]
 [0.49536171 0.42777289 0.39194657 0.30978191 0.92332378 0.92595147]
 [0.79486116 0.39459651 0.42664461 0.62292346 0.83496351 0.79888176]]"
SGD-hinge-1e4,16,0.6715219130375224,0.44965967222955167,0.45494186046511625,0.08398950131233596,0.32808398950131235,0.7976575571667597,0.4148148148148148,0.35,0.509090909090909,0.6971564398274497,0.45652173913043476,0.38181818181818183,0.5675675675675675,0.5901600474214582,0.47619047619047616,0.42857142857142855,0.5357142857142857,0.6657404580152672,0.47509578544061304,0.47692307692307695,0.4732824427480916,0.5814599802371541,0.4520547945205479,0.4024390243902439,0.515625,0.6969569955570459,0.42328042328042326,0.36363636363636365,0.5063291139240507,"[[0.91544302 0.66370182 0.13551972 0.49483381 0.94918152 0.07559491]
 [0.59677445 0.58412799 0.56581754 0.83714228 0.60743559 0.40434476]
 [0.36762056 0.41527611 0.88397581 0.73619929 0.69483455 0.27755883]
 ...
 [0.29764172 0.98406353 0.75023078 0.6294526  0.28007567 0.1517928 ]
 [0.49752418 0.55212057 0.8836811  0.34729664 0.63994628 0.58022446]
 [0.9342739  0.32035784 0.8034423  0.7241444  0.75950397 0.43088804]]"
SGD-hinge-1e4,17,0.6641391648091123,0.44174178640790346,0.44305772230889234,0.09711286089238845,0.3123359580052493,0.7958728388176242,0.5081967213114754,0.4626865671641791,0.5636363636363636,0.6883528479619685,0.4311377245508982,0.3870967741935484,0.4864864864864865,0.6113515115589805,0.4652777777777778,0.4527027027027027,0.4785714285714286,0.6318167938931298,0.4521072796934866,0.45384615384615384,0.45038167938931295,0.6010993083003953,0.45255474452554745,0.4246575342465753,0.484375,0.6563416883225753,0.3411764705882353,0.31868131868131866,0.3670886075949367,"[[0.87907901 0.80717212 0.04636194 0.43104232 0.96109662 0.30621692]
 [0.56758769 0.37769992 0.69268049 0.23630669 0.55657734 0.54146455]
 [0.76855752 0.48850188 0.57742827 0.64782733 0.50830298 0.20186706]
 ...
 [0.02920589 0.98368239 0.51384723 0.78107667 0.35736234 0.19618612]
 [0.36065549 0.35116682 0.66240728 0.28659812 0.61399421 0.69558844]
 [0.94177823 0.17259771 0.21886359 0.38577506 0.78294955 0.50758002]]"
SGD-log-1e5,13,0.669566239908728,0.4523214030052188,0.455521472392638,0.10236220472440945,0.310586176727909,0.80574456218628,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.681133902632274,0.4311377245508982,0.3870967741935484,0.4864864864864865,0.6071428571428572,0.46689895470383275,0.4557823129251701,0.4785714285714286,0.631206106870229,0.49070631970260226,0.4782608695652174,0.5038167938931297,0.6047276432806324,0.4485294117647059,0.4236111111111111,0.4765625,0.6874423673400956,0.4221105527638191,0.35,0.5316455696202531,"[[0.64559645 0.71371777 0.34883345 0.12091857 0.52080447 0.42832271]
 [0.74060506 0.52671209 0.48028115 0.3456968  0.47587699 0.56528483]
 [0.75628578 0.49909396 0.63469297 0.28767272 0.54988655 0.32825611]
 ...
 [0.05026013 0.99225119 0.81941363 0.71244423 0.45370494 0.38723365]
 [0.62029107 0.77657425 0.70694995 0.30106029 0.51979174 0.70193819]
 [0.95669382 0.29514556 0.28832289 0.62334662 0.54782418 0.47524776]]"
SGD-log-1e5,14,0.676381864111207,0.44605256002860155,0.44981132075471697,0.09186351706036745,0.3188976377952756,0.8083100948131623,0.45871559633027525,0.46296296296296297,0.45454545454545453,0.6913020512369047,0.4022346368715084,0.34285714285714286,0.4864864864864865,0.5770005927682277,0.4413793103448276,0.4266666666666667,0.45714285714285713,0.6609923664122138,0.5109489051094891,0.48951048951048953,0.5343511450381679,0.6129570158102767,0.4548736462093863,0.4228187919463087,0.4921875,0.7077290636264566,0.40816326530612246,0.3418803418803419,0.5063291139240507,"[[0.50915168 0.90864629 0.09144815 0.36892331 0.24972138 0.33283311]
 [0.67590498 0.53611648 0.23777651 0.29071024 0.8695196  0.57177673]
 [0.4478215  0.20631605 0.81430721 0.80983918 0.80409479 0.28855101]
 ...
 [0.181393   0.96723689 0.46807186 0.86351823 0.62734383 0.13761413]
 [0.61475318 0.29103767 0.73317773 0.41388659 0.5724049  0.63674219]
 [0.96635634 0.39629815 0.50789172 0.4954435  0.74587185 0.32300401]]"
SGD-log-1e5,15,0.6747404624576916,0.47316917252920127,0.47340823970037454,0.10761154855643044,0.30752405949256345,0.8358337981037367,0.5354330708661418,0.4722222222222222,0.6181818181818182,0.7181089884672947,0.4260355029585799,0.37894736842105264,0.4864864864864865,0.5749555423829282,0.43902439024390244,0.42857142857142855,0.45,0.6586564885496183,0.5278810408921933,0.5144927536231884,0.5419847328244275,0.5941514328063241,0.4982698961937716,0.4472049689440994,0.5625,0.6667365244362478,0.41237113402061853,0.34782608695652173,0.5063291139240507,"[[0.92475958 0.95839702 0.02128934 0.5689586  0.73841924 0.25864352]
 [0.78808498 0.19866779 0.33786339 0.70499365 0.82651139 0.62267073]
 [0.73228782 0.32119581 0.71229139 0.75711822 0.69839359 0.16950831]
 ...
 [0.17427975 0.95996452 0.6931402  0.60619385 0.66408167 0.29384554]
 [0.61970532 0.63907433 0.43766415 0.43385602 0.91433412 0.76819221]
 [0.92049188 0.49920684 0.37548848 0.65671099 0.78067495 0.30615787]]"
SGD-log-1e5,16,0.6759346103887781,0.45386665040715807,0.4562962962962963,0.10236220472440945,0.321084864391951,0.8004461795872838,0.47244094488188976,0.4166666666666667,0.5454545454545454,0.7029227924993398,0.4307692307692308,0.34710743801652894,0.5675675675675675,0.5929756965026675,0.4794952681388013,0.4293785310734463,0.5428571428571428,0.6694656488549618,0.48627450980392156,0.5,0.4732824427480916,0.5849184782608695,0.4411764705882353,0.4166666666666667,0.46875,0.7048788666275464,0.41304347826086957,0.3619047619047619,0.4810126582278481,"[[0.83541182 0.71963172 0.16101245 0.67288432 0.94536185 0.04578944]
 [0.65607202 0.64919257 0.52874416 0.86259581 0.67833279 0.52332669]
 [0.28404121 0.25181901 0.95597554 0.85913894 0.53419446 0.14619562]
 ...
 [0.2614189  0.9897704  0.75777139 0.56604724 0.25129364 0.16916302]
 [0.53706442 0.42055097 0.94509384 0.40443593 0.50536854 0.50733304]
 [0.89289328 0.36698046 0.70983679 0.68093018 0.74382204 0.41905973]]"
SGD-log-1e5,17,0.6731378991823961,0.46758700907026557,0.46692015209125476,0.08136482939632546,0.30664916885389326,0.7991076408254322,0.5210084033613446,0.484375,0.5636363636363636,0.6997094814684391,0.4444444444444444,0.37735849056603776,0.5405405405405406,0.6104179016004743,0.5017421602787456,0.4897959183673469,0.5142857142857142,0.6484885496183206,0.4549019607843137,0.46774193548387094,0.44274809160305345,0.6091279644268776,0.46853146853146854,0.4240506329113924,0.5234375,0.6719758571548328,0.4148936170212766,0.3577981651376147,0.4936708860759494,"[[0.8581101  0.92094289 0.10626142 0.58864696 0.81522743 0.24071678]
 [0.72520406 0.56258234 0.75930907 0.24833451 0.61033437 0.67267452]
 [0.63597333 0.24338686 0.58934087 0.51929911 0.53090203 0.13004053]
 ...
 [0.11390654 0.98920044 0.53708655 0.88042218 0.52123714 0.30847213]
 [0.64113332 0.52434832 0.67119871 0.34451187 0.69757472 0.76931138]
 [0.952187   0.28055696 0.19797923 0.50044779 0.88283732 0.62842832]]"
