verb,levels,freq
rate,Evaluation,
evaluate,Evaluation,
assess,Evaluation,
judge,Evaluation,
justify,Evaluation,
create,Synthesis,
compose,Synthesis,
argue,Synthesis,
design,Synthesis,
plan,Synthesis,
support,Synthesis,
revise,Synthesis,
formulate,Synthesis,
analyze,Analysis,
question,Analysis,
differentiate,Analysis,
experiment,Analysis,
examine,Analysis,
test,Analysis,
categorize,Analysis,
distinguish,Analysis,
calculate,Analysis,
contrast,Analysis,
outline,Analysis,
infer,Analysis,
discriminate,Analysis,
compare,Analysis,
operate,Application,
apply,Application,
use,Application,
demonstrate,Application,
solve,Application,
produce,Application,
prepare,Application,
choose,Application,
translate,Comprehension,
paraphrase,Comprehension,
discuss,Comprehension,
report,Comprehension,
locate,Comprehension,
generalize,Comprehension,
explain,Comprehension,
classify,Comprehension,
summarize,Comprehension,
list,Knowledge,43
define,Knowledge,
recall,Knowledge,
state,Knowledge,
label,Knowledge,
repeat,Knowledge,
name,Knowledge,
