original,normalized_lemma,action,merged_into_or_core
abandon,abandon,kept,
abbreviate,abbreviate,kept,
abet,abet,kept,
abide,abide,kept,
ablate,ablate,kept,
abort,abort,kept,
abound,abound,kept,
absorb,absorb,kept,
abut,abut,kept,
accelerate,accelerate,kept,
accentuate,accentuate,kept,
accept,accept,dropped-core-leak,accept
accommodate,accommodate,kept,
accompany,accompany,kept,
accomplish,accomplish,kept,
accounting,account,lemmatized,
accrue,accrue,kept,
accumulate,accumulate,kept,
accustom,accustom,kept,
achieve,achieve,kept,
acidify,acidify,kept,
acknowledge,acknowledge,kept,
acquaint,acquaint,kept,
acquainted,acquaint,merged-duplicate,acquaint
acting,act,dropped-core-leak,act
activate,activate,kept,
actualize,actualize,kept,
actuate,actuate,kept,
adapted,adapt,dropped-core-leak,adapt
adding,add,dropped-core-leak,add
address,address,kept,
adhere,adhere,kept,
adjoin,adjoin,kept,
adjudicate,adjudicate,kept,
adjust,adjust,kept,
administrate,administrate,kept,
admire,admire,kept,
admit,admit,kept,
adopt,adopt,kept,
adsorb,adsorb,kept,
advect,advect,kept,
advertise,advertise,kept,
advocate,advocate,kept,
aerate,aerate,kept,
affect,affect,kept,
affirm,affirm,kept,
affix,affix,kept,
afford,afford,kept,
aggravate,aggravate,kept,
aggregate,aggregate,kept,
agitate,agitate,kept,
agonizing,agonize,lemmatized,
agree,agree,kept,
aim,aim,kept,
align,align,kept,
aligned,align,merged-duplicate,align
alleviate,alleviate,kept,
allot,allot,kept,
allude,allude,kept,
alter,alter,kept,
alternate,alternate,kept,
ameliorate,ameliorate,kept,
amortize,amortize,kept,
amplify,amplify,kept,
analogize,analogize,kept,
analyse,analyze,dropped-core-leak,analyze
anneal,anneal,kept,
annihilate,annihilate,kept,
annotate,annotate,kept,
announce,announce,kept,
anodize,anodize,kept,
answer,answer,kept,
antagonize,antagonize,kept,
apologize,apologize,kept,
appeal,appeal,kept,
appear,appear,kept,
append,append,kept,
applied,apply,dropped-core-leak,apply
appoint,appoint,kept,
apportion,apportion,kept,
appreciate,appreciate,kept,
