verb,levels,freq
arrange,Knowledge,6
choose,Knowledge,4
cite,Knowledge,17
copy,Knowledge,4
define,Knowledge,21
describe,Knowledge,14
draw,Knowledge,5
duplicate,Knowledge,7
identify,Knowledge,20
indicate,Knowledge,4
label,Knowledge,21
list,Knowledge,27
locate,Knowledge,10
match,Knowledge,14
memorize,Knowledge,10
name,Knowledge,22
order,Knowledge,5
outline,Knowledge,11
quote,Knowledge,7
read,Knowledge,4
recall,Knowledge,24
recite,Knowledge,12
recognize,Knowledge,14
record,Knowledge,13
relate,Knowledge,11
repeat,Knowledge,20
reproduce,Knowledge,11
review,Knowledge,4
select,Knowledge,16
state,Knowledge,23
tabulate,Knowledge,4
tell,Knowledge,4
underline,Knowledge,7
write,Knowledge,5
articulate,Understand,4
associate,Understand,4
characterize,Understand,4
cite,Understand,4
clarify,Understand,5
classify,Understand,18
compare,Understand,11
contrast,Understand,7
convert,Understand,13
defend,Understand,12
demonstrate,Understand,6
describe,Understand,22
differentiate,Understand,8
discuss,Understand,21
distinguish,Understand,12
estimate,Understand,11
explain,Understand,28
express,Understand,17
extend,Understand,11
extrapolate,Understand,5
generalize,Understand,11
give,Understand,4
give examples,Understand,8
identify,Understand,14
illustrate,Understand,9
indicate,Understand,8
infer,Understand,15
interpolate,Understand,5
interpret,Understand,17
locate,Understand,10
match,Understand,7
observe,Understand,5
organize,Understand,5
paraphrase,Understand,22
predict,Understand,12
recognize,Understand,11
relate,Understand,7
report,Understand,10
represent,Understand,4
restate,Understand,15
review,Understand,15
rewrite,Understand,12
select,Understand,7
summarize,Understand,20
tell,Understand,7
translate,Understand,21
act,Apply,19
adapt,Apply,4
apply,Apply,22
back/back up,Apply,5
calculate,Apply,10
change,Apply,9
choose,Apply,11
classify,Apply,6
complete,Apply,5
compute,Apply,10
construct,Apply,13
demonstrate,Apply,20
develop,Apply,4
discover,Apply,8
dramatize,Apply,16
employ,Apply,16
experiment,Apply,6
explain,Apply,5
generalize,Apply,5
identify,Apply,4
illustrate,Apply,18
implement,Apply,4
interpret,Apply,15
interview,Apply,6
manipulate,Apply,10
modify,Apply,12
operate,Apply,17
organize,Apply,4
paint,Apply,4
practice,Apply,15
predict,Apply,9
prepare,Apply,11
produce,Apply,13
relate,Apply,12
schedule,Apply,11
select,Apply,4
show,Apply,13
simulate,Apply,5
sketch,Apply,17
solve,Apply,19
translate,Apply,5
use,Apply,25
utilize,Apply,4
write,Apply,5
analyze,Analyze,24
appraise,Analyze,11
break,Analyze,8
break down,Analyze,7
calculate,Analyze,9
categorize,Analyze,19
classify,Analyze,10
compare,Analyze,24
conclude,Analyze,6
contrast,Analyze,19
correlate,Analyze,5
criticize,Analyze,11
debate,Analyze,8
deduce,Analyze,6
detect,Analyze,7
diagnose,Analyze,4
diagram,Analyze,12
differentiate,Analyze,20
discover,Analyze,4
discriminate,Analyze,11
dissect,Analyze,6
distinguish,Analyze,21
divide,Analyze,12
evaluate,Analyze,4
examine,Analyze,18
experiment,Analyze,9
figure,Analyze,4
group,Analyze,4
identify,Analyze,7
illustrate,Analyze,8
infer,Analyze,14
inspect,Analyze,8
inventory,Analyze,9
investigate,Analyze,7
order,Analyze,5
organize,Analyze,6
outline,Analyze,10
point out,Analyze,12
predict,Analyze,4
prioritize,Analyze,4
question,Analyze,12
relate,Analyze,17
select,Analyze,12
separate,Analyze,10
solve,Analyze,8
subdivide,Analyze,10
survey,Analyze,7
test,Analyze,14
appraise,Evaluate,22
argue,Evaluate,12
arrange,Evaluate,5
assess,Evaluate,17
attach,Evaluate,4
choose,Evaluate,10
compare,Evaluate,18
conclude,Evaluate,13
contrast,Evaluate,8
core,Evaluate,6
counsel,Evaluate,4
create,Evaluate,4
criticize,Evaluate,11
critique,Evaluate,14
decide,Evaluate,4
defend,Evaluate,15
describe,Evaluate,4
design,Evaluate,4
determine,Evaluate,6
discriminate,Evaluate,9
estimate,Evaluate,15
evaluate,Evaluate,16
explain,Evaluate,9
grade,Evaluate,4
invent,Evaluate,8
judge,Evaluate,25
manage,Evaluate,15
mediate,Evaluate,9
prepare,Evaluate,12
probe,Evaluate,4
rate,Evaluate,5
rearrange,Evaluate,19
reconcile,Evaluate,12
release,Evaluate,6
rewrite,Evaluate,4
select,Evaluate,5
set up,Evaluate,15
supervise,Evaluate,9
synthesize,Evaluate,16
test,Evaluate,8
value,Evaluate,7
verify,Evaluate,9
weigh,Evaluate,5
arrange,Create,22
assemble,Create,14
categorize,Create,7
choose,Create,7
collect,Create,9
combine,Create,14
compile,Create,7
compose,Create,19
construct,Create,29
create,Create,19
design,Create,24
develop,Create,18
devise,Create,13
estimate,Create,5
evaluate,Create,4
explain,Create,8
facilitate,Create,4
formulate,Create,18
generalize,Create,7
generate,Create,11
hypothesize,Create,8
improve,Create,5
integrate,Create,4
invent,Create,10
make,Create,6
manage,Create,8
modify,Create,10
organize,Create,21
originate,Create,9
plan,Create,21
predict,Create,8
prepare,Create,12
produce,Create,13
propose,Create,9
rate,Create,21
rearrange,Create,8
reconstruct,Create,9
relate,Create,8
reorganize,Create,9
revise,Create,12
rewrite,Create,7
role-play,Create,4
set up,Create,9
specify,Create,5
summarize,Create,7
synthesize,Create,4
tell/tell why,Create,5
write,Create,17
