verb,level,freq
list,Knowledge,20
name,Knowledge,18
define,Knowledge,16
repeat,Knowledge,15
state,Knowledge,15
label,Knowledge,14
recall,Knowledge,14
identify,Knowledge,13
reproduce,Knowledge,12
describe,Knowledge,12
recognize,Knowledge,11
select,Knowledge,10
record,Knowledge,10
match,Knowledge,9
relate,Knowledge,9
memorize,Knowledge,9
outline,Knowledge,6
quote,Knowledge,6
enumerate,Knowledge,6
write,Knowledge,6
tell,Knowledge,5
recite,Knowledge,4
cite,Knowledge,4
duplicate,Knowledge,4
read,Knowledge,4
order,Knowledge,3
tabulate,Knowledge,3
draw,Knowledge,3
review,Knowledge,3
indicate,Knowledge,3
underline,Knowledge,3
arrange,Knowledge,3
know,Knowledge,2
point,Knowledge,2
count,Knowledge,2
collect,Knowledge,2
meet,Knowledge,2
study,Knowledge,2
trace,Knowledge,2
find,Knowledge,2
index,Knowledge,2
locate,Knowledge,2
show,Knowledge,1
visualize,Knowledge,1
examine,Knowledge,1
copy,Knowledge,1
sequence,Knowledge,1
acquire,Knowledge,1
retell,Knowledge,1
view,Knowledge,1
observe,Knowledge,1
tally,Knowledge,1
imitate,Knowledge,1
follow,Knowledge,1
explain,Comprehension,19
describe,Comprehension,18
discuss,Comprehension,18
paraphrase,Comprehension,14
restate,Comprehension,13
summarize,Comprehension,13
translate,Comprehension,10
convert,Comprehension,10
review,Comprehension,10
express,Comprehension,10
estimate,Comprehension,10
identify,Comprehension,10
generalize,Comprehension,10
interpret,Comprehension,10
locate,Comprehension,10
give,Comprehension,10
distinguish,Comprehension,10
extend,Comprehension,9
predict,Comprehension,9
recognize,Comprehension,9
defend,Comprehension,8
classify,Comprehension,8
infer,Comprehension,7
report,Comprehension,7
illustrate,Comprehension,7
rewrite,Comprehension,6
select,Comprehension,5
contrast,Comprehension,5
differentiate,Comprehension,5
compare,Comprehension,5
indicate,Comprehension,3
example,Comprehension,3
observe,Comprehension,3
elaborate,Comprehension,3
associate,Comprehension,3
visualize,Comprehension,2
articulate,Comprehension,2
clarify,Comprehension,2
subtract,Comprehension,2
approximate,Comprehension,2
interpolate,Comprehension,2
tell,Comprehension,2
detail,Comprehension,2
outline,Comprehension,2
cite,Comprehension,2
picture graphically,Comprehension,2
interact,Comprehension,2
conclude,Comprehension,2
characterize,Comprehension,2
add,Comprehension,2
factor,Comprehension,2
compute,Comprehension,2
match,Comprehension,1
schedule,Comprehension,1
order,Comprehension,1
sketch,Comprehension,1
draw,Comprehension,1
define,Comprehension,1
operate,Comprehension,1
arrange,Comprehension,1
group,Comprehension,1
extrapolate,Comprehension,1
make sense of,Comprehension,1
examples,Comprehension,1
diagram,Comprehension,1
interrelate,Comprehension,1
represent,Comprehension,1
trace,Comprehension,1
shop,Comprehension,1
suggest,Comprehension,1
understand,Comprehension,1
demonstrate,Application,18
use,Application,17
apply,Application,17
solve,Application,17
illustrate,Application,15
dramatize,Application,13
practise,Application,13
employ,Application,12
operate,Application,12
sketch,Application,11
prepare,Application,11
show,Application,11
compute,Application,10
relate,Application,10
construct,Application,10
interpret,Application,10
discover,Application,9
change,Application,9
produce,Application,9
manipulate,Application,8
schedule,Application,8
modify,Application,8
predict,Application,8
complete,Application,6
choose,Application,6
classify,Application,6
translate,Application,5
determine,Application,5
examine,Application,5
calculate,Application,5
investigate,Application,4
draw,Application,4
write,Application,4
protect,Application,3
derive,Application,3
chart,Application,3
alphabetize,Application,3
simulate,Application,3
process,Application,3
provide,Application,3
capture,Application,3
project,Application,3
transcribe,Application,3
organize,Application,3
shop,Application,3
establish,Application,3
attain,Application,2
graph,Application,2
assign,Application,2
allocate,Application,2
interconvert,Application,2
experiment,Application,2
exercise,Application,2
diminish,Application,2
make,Application,2
develop,Application,2
ascertain,Application,2
tabulate,Application,2
depreciate,Application,2
subscribe,Application,2
implement,Application,2
handle,Application,2
transfer,Application,2
factor,Application,2
avoid,Application,2
expose,Application,2
express,Application,2
perform,Application,2
sequence,Application,2
acquire,Application,2
administer,Application,2
personalize,Application,2
adapt,Application,2
plot,Application,2
customize,Application,2
interview,Application,2
paint,Application,2
explore,Application,2
utilize,Application,2
report,Application,2
round off,Application,2
figure,Application,2
price,Application,2
carry out,Application,1
coordinate,Application,1
simplify,Application,1
consult,Application,1
maintain,Application,1
deliver,Application,1
extend,Application,1
imitate,Application,1
guide,Application,1
back up,Application,1
conduct,Application,1
multiply,Application,1
build,Application,1
code,Application,1
contribute,Application,1
obtain,Application,1
model,Application,1
